scenario_id,variant_label,metric,paired_n,delta_mean,delta_median
start_stop_6dof,EgoAnchor w/o temporal synthesis,static.rotation_drift_deg,6,0.6073395678720969,0.5056818644270659
start_stop_6dof,EgoAnchor w/o temporal synthesis,static.rotation_error_deg_median,6,-0.08592381899833001,-0.15378598495725226
start_stop_6dof,EgoAnchor w/o temporal synthesis,static.rotation_error_deg_p95,6,-0.2673204761335402,-0.15455640660048608
start_stop_6dof,EgoAnchor w/o temporal synthesis,static.rotation_hp_rms_deg,6,0.0596402319561202,0.06292888267016207
start_stop_6dof,EgoAnchor w/o temporal synthesis,static.translation_error_mm_median,6,-0.04370795671460718,-0.017198093056983943
start_stop_6dof,EgoAnchor w/o temporal synthesis,static.translation_error_mm_p95,6,-1.0828268422028953,0.01805202498309022
start_stop_6dof,EgoAnchor w/o temporal synthesis,transition.peak_rotation_error_deg,5,-1.4310377627698219,-0.03180560852553782
start_stop_6dof,EgoAnchor w/o temporal synthesis,transition.peak_translation_error_mm,5,-0.8544935579041578,0.03968796550353204
start_stop_6dof,EgoAnchor w/o temporal synthesis,transition.relock_success,5,0.0,0.0
start_stop_6dof,EgoAnchor w/o temporal synthesis,transition.unlock_success,5,0.0,0.0
start_stop_6dof,EgoAnchor w/o temporal synthesis,transition.unlock_time_ms,5,0.0,0.0
start_stop_6dof,EgoAnchor w/o temporal synthesis,transition.visible_response_time_ms,1,-21.46980000543408,-21.46980000543408
static_head_motion,EgoAnchor w/o StaticLock,display_error.rotation_error_deg_iqr,5,0.9372772846033766,0.8002838441226556
static_head_motion,EgoAnchor w/o StaticLock,display_error.rotation_error_deg_median,5,0.0702116367481553,0.09053473229332942
static_head_motion,EgoAnchor w/o StaticLock,display_error.rotation_error_deg_p95,5,1.3300674299104789,1.2089056535563047
static_head_motion,EgoAnchor w/o StaticLock,display_error.translation_error_mm_iqr,5,2.3617629922061,2.9325514259053556
static_head_motion,EgoAnchor w/o StaticLock,display_error.translation_error_mm_median,5,0.8933125222060688,1.072495845627004
static_head_motion,EgoAnchor w/o StaticLock,display_error.translation_error_mm_p95,5,3.570998633160466,4.078336938134405
static_head_motion,EgoAnchor w/o StaticLock,latency.candidate_arrival_p50_ms,5,0.29060000015306287,0.2786999975796789
static_head_motion,EgoAnchor w/o StaticLock,latency.candidate_arrival_p95_ms,5,0.28549200054840185,0.2896199977840297
static_head_motion,EgoAnchor w/o StaticLock,latency.candidate_processing_p50_ms,5,0.0,0.0
static_head_motion,EgoAnchor w/o StaticLock,latency.candidate_processing_p95_ms,5,0.0,0.0
static_head_motion,EgoAnchor w/o StaticLock,latency.observation_age_p50_ms,5,0.017469998419983312,0.016949998098425567
static_head_motion,EgoAnchor w/o StaticLock,latency.observation_age_p95_ms,5,0.015654000380891375,0.015559997700620443
static_head_motion,EgoAnchor w/o StaticLock,latency.render_hz,5,0.0,0.0
static_head_motion,EgoAnchor w/o StaticLock,latency.smoothing_delay_p50_ms,1,8.421137928962708,8.421137928962708
static_head_motion,EgoAnchor w/o StaticLock,latency.smoothing_delay_p95_ms,1,17.23182499408722,17.23182499408722
static_head_motion,EgoAnchor w/o StaticLock,latency.visual_perception_hz,5,0.0,0.0
static_head_motion,EgoAnchor w/o StaticLock,static.position_drift_mm,5,-0.01337289859810431,0.23906828221101506
static_head_motion,EgoAnchor w/o StaticLock,static.position_hp_rms_mm,5,1.3598126200986287,1.102021160723066
static_head_motion,EgoAnchor w/o StaticLock,static.rotation_drift_deg,5,0.4168797082792892,-0.32285719430187165
static_head_motion,EgoAnchor w/o StaticLock,static.rotation_error_deg_median,5,0.0702116367481553,0.09053473229332942
static_head_motion,EgoAnchor w/o StaticLock,static.rotation_error_deg_p95,5,1.3300674299104789,1.2089056535563047
static_head_motion,EgoAnchor w/o StaticLock,static.rotation_hp_rms_deg,5,0.5809365219040267,0.585111103940857
static_head_motion,EgoAnchor w/o StaticLock,static.translation_error_mm_median,5,0.8933125222060688,1.072495845627004
static_head_motion,EgoAnchor w/o StaticLock,static.translation_error_mm_p95,5,3.570998633160466,4.078336938134405
static_head_motion,EgoAnchor w/o capture-time alignment,display_error.rotation_error_deg_iqr,5,0.27864200221889385,0.07408854675153487
static_head_motion,EgoAnchor w/o capture-time alignment,display_error.rotation_error_deg_median,5,0.22984262093731003,0.06633251223953618
static_head_motion,EgoAnchor w/o capture-time alignment,display_error.rotation_error_deg_p95,5,0.49746725434812744,0.2721536816063064
static_head_motion,EgoAnchor w/o capture-time alignment,display_error.translation_error_mm_iqr,5,2.227465238708868,0.22669247503562007
static_head_motion,EgoAnchor w/o capture-time alignment,display_error.translation_error_mm_median,5,0.824009730879574,0.5256431279364926
static_head_motion,EgoAnchor w/o capture-time alignment,display_error.translation_error_mm_p95,5,7.199516830025073,0.9210165375860409
static_head_motion,EgoAnchor w/o capture-time alignment,latency.candidate_arrival_p50_ms,5,0.19040000188397244,0.18220000492874533
static_head_motion,EgoAnchor w/o capture-time alignment,latency.candidate_arrival_p95_ms,5,0.1848479996988317,0.18553999834693968
static_head_motion,EgoAnchor w/o capture-time alignment,latency.candidate_processing_p50_ms,5,0.0,0.0
static_head_motion,EgoAnchor w/o capture-time alignment,latency.candidate_processing_p95_ms,5,0.0,0.0
static_head_motion,EgoAnchor w/o capture-time alignment,latency.observation_age_p50_ms,5,-171.75165999797173,-168.93870000058087
static_head_motion,EgoAnchor w/o capture-time alignment,latency.observation_age_p95_ms,5,-183.8151090014435,-179.46747000387404
static_head_motion,EgoAnchor w/o capture-time alignment,latency.render_hz,5,0.0,0.0
static_head_motion,EgoAnchor w/o capture-time alignment,latency.smoothing_delay_p50_ms,1,-26.553884148597717,-26.553884148597717
static_head_motion,EgoAnchor w/o capture-time alignment,latency.smoothing_delay_p95_ms,1,-33.645887672901154,-33.645887672901154
static_head_motion,EgoAnchor w/o capture-time alignment,latency.visual_perception_hz,5,0.0,0.0
static_head_motion,EgoAnchor w/o capture-time alignment,static.position_drift_mm,5,0.09705598948254898,0.15174307032566414
static_head_motion,EgoAnchor w/o capture-time alignment,static.position_hp_rms_mm,5,1.0158778167031814,0.03134739142025945
static_head_motion,EgoAnchor w/o capture-time alignment,static.rotation_drift_deg,5,-0.17689153893822424,-0.047096427048437306
static_head_motion,EgoAnchor w/o capture-time alignment,static.rotation_error_deg_median,5,0.22984262093731003,0.06633251223953618
static_head_motion,EgoAnchor w/o capture-time alignment,static.rotation_error_deg_p95,5,0.49746725434812744,0.2721536816063064
static_head_motion,EgoAnchor w/o capture-time alignment,static.rotation_hp_rms_deg,5,0.08402394887901103,0.00041963436018965794
static_head_motion,EgoAnchor w/o capture-time alignment,static.translation_error_mm_median,5,0.824009730879574,0.5256431279364926
static_head_motion,EgoAnchor w/o capture-time alignment,static.translation_error_mm_p95,5,7.199516830025073,0.9210165375860409
