session_id,scenario_id,trial_id,event_id,metric,variant_label,metric_value_full,metric_value_ablation,delta_ablation_minus_full,paired_n
20260717_203329_controller_right,static_head_motion,trial_001,,display_error.translation_error_mm_median,EgoAnchor w/o StaticLock,5.982933756350954,5.022552112113858,-0.9603816442370965,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,display_error.translation_error_mm_median,EgoAnchor w/o StaticLock,3.6882125673198463,5.008727755291433,1.320515187971587,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,display_error.translation_error_mm_median,EgoAnchor w/o StaticLock,2.332678543957942,4.333896195701553,2.001217651743611,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,display_error.translation_error_mm_median,EgoAnchor w/o StaticLock,2.8014793066304957,3.8341948765557348,1.032715569925239,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,display_error.translation_error_mm_median,EgoAnchor w/o StaticLock,3.2203591874877917,4.292855033114796,1.072495845627004,1
20260717_203329_controller_right,static_head_motion,trial_001,,display_error.translation_error_mm_iqr,EgoAnchor w/o StaticLock,2.2023687552910634,2.0243515104718526,-0.17801724481921077,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,display_error.translation_error_mm_iqr,EgoAnchor w/o StaticLock,0.3770583064071391,4.149552508587446,3.7724942021803067,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,display_error.translation_error_mm_iqr,EgoAnchor w/o StaticLock,0.2500955858208713,2.5985701397298175,2.348474553908946,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,display_error.translation_error_mm_iqr,EgoAnchor w/o StaticLock,0.5240952851733471,3.4566467110787027,2.9325514259053556,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,display_error.translation_error_mm_iqr,EgoAnchor w/o StaticLock,0.3323749368668598,3.2656869607219607,2.933312023855101,1
20260717_203329_controller_right,static_head_motion,trial_001,,display_error.translation_error_mm_p95,EgoAnchor w/o StaticLock,7.155202365780894,7.695453086117575,0.5402507203366813,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,display_error.translation_error_mm_p95,EgoAnchor w/o StaticLock,6.460055436376794,9.795146129288604,3.33509069291181,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,display_error.translation_error_mm_p95,EgoAnchor w/o StaticLock,2.7938745440506185,6.8722114821850235,4.078336938134405,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,display_error.translation_error_mm_p95,EgoAnchor w/o StaticLock,3.4967309517041376,8.925745030220853,5.429014078516715,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,display_error.translation_error_mm_p95,EgoAnchor w/o StaticLock,3.8615412850934283,8.333842020996148,4.472300735902719,1
20260717_203329_controller_right,static_head_motion,trial_001,,display_error.rotation_error_deg_median,EgoAnchor w/o StaticLock,3.4086561851193444,3.297662367066378,-0.11099381805296638,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,display_error.rotation_error_deg_median,EgoAnchor w/o StaticLock,2.8870613702715966,2.943370885417811,0.056309515146214295,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,display_error.rotation_error_deg_median,EgoAnchor w/o StaticLock,2.629617381417243,2.7890778498362803,0.15946046841903705,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,display_error.rotation_error_deg_median,EgoAnchor w/o StaticLock,2.5615768404966395,2.652111572789969,0.09053473229332942,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,display_error.rotation_error_deg_median,EgoAnchor w/o StaticLock,2.331507104859148,2.48725439079431,0.15574728593516207,1
20260717_203329_controller_right,static_head_motion,trial_001,,display_error.rotation_error_deg_iqr,EgoAnchor w/o StaticLock,0.29151944836878485,0.8002177152885923,0.5086982669198075,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,display_error.rotation_error_deg_iqr,EgoAnchor w/o StaticLock,0.29263750974056313,2.0879049563312235,1.7952674465906604,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,display_error.rotation_error_deg_iqr,EgoAnchor w/o StaticLock,0.13849060391329004,0.8954543122293335,0.7569637083160434,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,display_error.rotation_error_deg_iqr,EgoAnchor w/o StaticLock,0.09224654543638833,0.892530389559044,0.8002838441226556,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,display_error.rotation_error_deg_iqr,EgoAnchor w/o StaticLock,0.28215477356593377,1.1073279306336496,0.8251731570677159,1
20260717_203329_controller_right,static_head_motion,trial_001,,display_error.rotation_error_deg_p95,EgoAnchor w/o StaticLock,3.680874778400833,4.086568046403089,0.40569326800225625,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,display_error.rotation_error_deg_p95,EgoAnchor w/o StaticLock,3.5033518798188186,6.179985819177806,2.6766339393589873,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,display_error.rotation_error_deg_p95,EgoAnchor w/o StaticLock,2.974718974765411,4.073156651432902,1.0984376766674915,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,display_error.rotation_error_deg_p95,EgoAnchor w/o StaticLock,2.7356922916684496,3.9445979452247544,1.2089056535563047,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,display_error.rotation_error_deg_p95,EgoAnchor w/o StaticLock,2.5451917170143643,3.8058583289817194,1.260666611967355,1
20260717_203329_controller_right,static_head_motion,trial_001,,static.position_hp_rms_mm,EgoAnchor w/o capture-time alignment,0.017400534395129084,0.04151502100383826,0.024114486608709178,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,static.position_hp_rms_mm,EgoAnchor w/o capture-time alignment,1.1367603966307174,3.5414149342448047,2.4046545376140873,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,static.position_hp_rms_mm,EgoAnchor w/o capture-time alignment,0.03562759723341337,2.6246441255642186,2.5890165283308053,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,static.position_hp_rms_mm,EgoAnchor w/o capture-time alignment,0.03238938686338388,0.06373677828364332,0.03134739142025945,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,static.position_hp_rms_mm,EgoAnchor w/o capture-time alignment,0.030665433642897897,0.060921573184944074,0.030256139542046177,1
20260717_203329_controller_right,static_head_motion,trial_001,,static.rotation_hp_rms_deg,EgoAnchor w/o capture-time alignment,0.016021203923810623,0.01644083828400028,0.00041963436018965794,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,static.rotation_hp_rms_deg,EgoAnchor w/o capture-time alignment,0.43313365435981616,0.5317796945175056,0.09864604015768946,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,static.rotation_hp_rms_deg,EgoAnchor w/o capture-time alignment,0.01604759621006276,0.3396196686565188,0.3235720724464561,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,static.rotation_hp_rms_deg,EgoAnchor w/o capture-time alignment,0.01596265992153617,0.014875608131365963,-0.0010870517901702074,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,static.rotation_hp_rms_deg,EgoAnchor w/o capture-time alignment,0.014463233763486617,0.013032282984376798,-0.0014309507791098186,1
20260717_203329_controller_right,static_head_motion,trial_001,,static.translation_error_mm_median,EgoAnchor w/o capture-time alignment,5.982933756350954,6.472822594798985,0.48988883844803066,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,static.translation_error_mm_median,EgoAnchor w/o capture-time alignment,3.6882125673198463,5.106394351349203,1.4181817840293567,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,static.translation_error_mm_median,EgoAnchor w/o capture-time alignment,2.332678543957942,4.170801545039523,1.838123001081581,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,static.translation_error_mm_median,EgoAnchor w/o capture-time alignment,2.8014793066304957,3.3271224345669883,0.5256431279364926,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,static.translation_error_mm_median,EgoAnchor w/o capture-time alignment,3.2203591874877917,3.0685710903902006,-0.1517880970975911,1
20260717_203329_controller_right,static_head_motion,trial_001,,static.translation_error_mm_p95,EgoAnchor w/o capture-time alignment,7.155202365780894,7.2523940813648835,0.09719171558398987,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,static.translation_error_mm_p95,EgoAnchor w/o capture-time alignment,6.460055436376794,31.552227487743366,25.09217205136657,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,static.translation_error_mm_p95,EgoAnchor w/o capture-time alignment,2.7938745440506185,13.042149931954963,10.248275387904345,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,static.translation_error_mm_p95,EgoAnchor w/o capture-time alignment,3.4967309517041376,4.4177474892901785,0.9210165375860409,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,static.translation_error_mm_p95,EgoAnchor w/o capture-time alignment,3.8615412850934283,3.500469742777845,-0.36107154231558347,1
20260717_203329_controller_right,static_head_motion,trial_001,,static.rotation_error_deg_median,EgoAnchor w/o capture-time alignment,3.4086561851193444,3.2843181325508035,-0.12433805256854091,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,static.rotation_error_deg_median,EgoAnchor w/o capture-time alignment,2.8870613702715966,3.693357051825396,0.8062956815537996,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,static.rotation_error_deg_median,EgoAnchor w/o capture-time alignment,2.629617381417243,2.9781373548108023,0.3485199733935591,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,static.rotation_error_deg_median,EgoAnchor w/o capture-time alignment,2.5615768404966395,2.6279093527361757,0.06633251223953618,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,static.rotation_error_deg_median,EgoAnchor w/o capture-time alignment,2.331507104859148,2.383910094927344,0.052402990068196154,1
20260717_203329_controller_right,static_head_motion,trial_001,,static.rotation_error_deg_p95,EgoAnchor w/o capture-time alignment,3.680874778400833,3.6938073073289606,0.012932528928127685,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,static.rotation_error_deg_p95,EgoAnchor w/o capture-time alignment,3.5033518798188186,5.111233714949887,1.6078818351310686,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,static.rotation_error_deg_p95,EgoAnchor w/o capture-time alignment,2.974718974765411,3.522148907010757,0.547429932245346,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,static.rotation_error_deg_p95,EgoAnchor w/o capture-time alignment,2.7356922916684496,3.007845973274756,0.2721536816063064,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,static.rotation_error_deg_p95,EgoAnchor w/o capture-time alignment,2.5451917170143643,2.5921300108441527,0.046938293829788424,1
20260717_203329_controller_right,static_head_motion,trial_001,,static.position_drift_mm,EgoAnchor w/o capture-time alignment,3.6166260230521927,3.1540201642130223,-0.4626058588391704,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,static.position_drift_mm,EgoAnchor w/o capture-time alignment,4.883834190054031,5.0355772603796956,0.15174307032566414,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,static.position_drift_mm,EgoAnchor w/o capture-time alignment,1.3099793089987974,3.848484549312479,2.5385052403136816,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,static.position_drift_mm,EgoAnchor w/o capture-time alignment,2.3229449809902976,2.7600794147161762,0.4371344337258787,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,static.position_drift_mm,EgoAnchor w/o capture-time alignment,4.58761486645567,2.408117928342361,-2.179496938113309,1
20260717_203329_controller_right,static_head_motion,trial_001,,static.rotation_drift_deg,EgoAnchor w/o capture-time alignment,1.4560124705656237,1.5142548077188385,0.05824233715321481,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,static.rotation_drift_deg,EgoAnchor w/o capture-time alignment,2.758652290584058,2.0877392360986353,-0.6709130544854225,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,static.rotation_drift_deg,EgoAnchor w/o capture-time alignment,0.8102937977845623,0.5841355824278506,-0.22615821535671177,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,static.rotation_drift_deg,EgoAnchor w/o capture-time alignment,0.6787961412548762,0.6802638063011118,0.0014676650462356333,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,static.rotation_drift_deg,EgoAnchor w/o capture-time alignment,0.9619308314137142,0.9148344043652769,-0.047096427048437306,1
20260717_203329_controller_right,static_head_motion,trial_001,,static.position_hp_rms_mm,EgoAnchor w/o StaticLock,0.017400534395129084,0.4768164836362325,0.45941594924110346,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,static.position_hp_rms_mm,EgoAnchor w/o StaticLock,1.1367603966307174,3.115896936807387,1.9791365401766696,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,static.position_hp_rms_mm,EgoAnchor w/o StaticLock,0.03562759723341337,1.1376487579564796,1.102021160723066,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,static.position_hp_rms_mm,EgoAnchor w/o StaticLock,0.03238938686338388,2.562858984117884,2.5304695972545,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,static.position_hp_rms_mm,EgoAnchor w/o StaticLock,0.030665433642897897,0.7586852867407028,0.7280198530978049,1
20260717_203329_controller_right,static_head_motion,trial_001,,static.rotation_hp_rms_deg,EgoAnchor w/o StaticLock,0.016021203923810623,0.6011323078646676,0.585111103940857,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,static.rotation_hp_rms_deg,EgoAnchor w/o StaticLock,0.43313365435981616,0.858322011270345,0.42518835691052886,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,static.rotation_hp_rms_deg,EgoAnchor w/o StaticLock,0.01604759621006276,0.6024406537850517,0.5863930575749889,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,static.rotation_hp_rms_deg,EgoAnchor w/o StaticLock,0.01596265992153617,0.7500182583011535,0.7340555983796173,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,static.rotation_hp_rms_deg,EgoAnchor w/o StaticLock,0.014463233763486617,0.5883977264776274,0.5739344927141409,1
20260717_203329_controller_right,static_head_motion,trial_001,,static.translation_error_mm_median,EgoAnchor w/o StaticLock,5.982933756350954,5.022552112113858,-0.9603816442370965,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,static.translation_error_mm_median,EgoAnchor w/o StaticLock,3.6882125673198463,5.008727755291433,1.320515187971587,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,static.translation_error_mm_median,EgoAnchor w/o StaticLock,2.332678543957942,4.333896195701553,2.001217651743611,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,static.translation_error_mm_median,EgoAnchor w/o StaticLock,2.8014793066304957,3.8341948765557348,1.032715569925239,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,static.translation_error_mm_median,EgoAnchor w/o StaticLock,3.2203591874877917,4.292855033114796,1.072495845627004,1
20260717_203329_controller_right,static_head_motion,trial_001,,static.translation_error_mm_p95,EgoAnchor w/o StaticLock,7.155202365780894,7.695453086117575,0.5402507203366813,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,static.translation_error_mm_p95,EgoAnchor w/o StaticLock,6.460055436376794,9.795146129288604,3.33509069291181,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,static.translation_error_mm_p95,EgoAnchor w/o StaticLock,2.7938745440506185,6.8722114821850235,4.078336938134405,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,static.translation_error_mm_p95,EgoAnchor w/o StaticLock,3.4967309517041376,8.925745030220853,5.429014078516715,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,static.translation_error_mm_p95,EgoAnchor w/o StaticLock,3.8615412850934283,8.333842020996148,4.472300735902719,1
20260717_203329_controller_right,static_head_motion,trial_001,,static.rotation_error_deg_median,EgoAnchor w/o StaticLock,3.4086561851193444,3.297662367066378,-0.11099381805296638,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,static.rotation_error_deg_median,EgoAnchor w/o StaticLock,2.8870613702715966,2.943370885417811,0.056309515146214295,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,static.rotation_error_deg_median,EgoAnchor w/o StaticLock,2.629617381417243,2.7890778498362803,0.15946046841903705,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,static.rotation_error_deg_median,EgoAnchor w/o StaticLock,2.5615768404966395,2.652111572789969,0.09053473229332942,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,static.rotation_error_deg_median,EgoAnchor w/o StaticLock,2.331507104859148,2.48725439079431,0.15574728593516207,1
20260717_203329_controller_right,static_head_motion,trial_001,,static.rotation_error_deg_p95,EgoAnchor w/o StaticLock,3.680874778400833,4.086568046403089,0.40569326800225625,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,static.rotation_error_deg_p95,EgoAnchor w/o StaticLock,3.5033518798188186,6.179985819177806,2.6766339393589873,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,static.rotation_error_deg_p95,EgoAnchor w/o StaticLock,2.974718974765411,4.073156651432902,1.0984376766674915,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,static.rotation_error_deg_p95,EgoAnchor w/o StaticLock,2.7356922916684496,3.9445979452247544,1.2089056535563047,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,static.rotation_error_deg_p95,EgoAnchor w/o StaticLock,2.5451917170143643,3.8058583289817194,1.260666611967355,1
20260717_203329_controller_right,static_head_motion,trial_001,,static.position_drift_mm,EgoAnchor w/o StaticLock,3.6166260230521927,3.8556943052632078,0.23906828221101506,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,static.position_drift_mm,EgoAnchor w/o StaticLock,4.883834190054031,3.428435150919577,-1.4553990391344542,1
20260717_203329_controller_right,static_head_motion,trial_001,event_002,static.position_drift_mm,EgoAnchor w/o StaticLock,1.3099793089987974,1.231845996240521,-0.0781333127582764,1
20260717_203329_controller_right,static_head_motion,trial_001,event_003,static.position_drift_mm,EgoAnchor w/o StaticLock,2.3229449809902976,2.575634241837336,0.25268926084703835,1
20260717_203329_controller_right,static_head_motion,trial_001,event_004,static.position_drift_mm,EgoAnchor w/o StaticLock,4.58761486645567,5.562525182299826,0.9749103158441557,1
20260717_203329_controller_right,static_head_motion,trial_001,,static.rotation_drift_deg,EgoAnchor w/o StaticLock,1.4560124705656237,1.133155276263752,-0.32285719430187165,1
20260717_203329_controller_right,static_head_motion,trial_001,event_001,static.rotation_drift_deg,EgoAnchor w/o StaticLock,2.758652290584058,1.2161229031278284,-1.5425293874562294,1
