session_id,experiment_id,scenario_id,trial_id,event_id,condition_id,candidate_count,accepted_candidates,coverage,threshold,selective_risk_mm
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,33,0.21568627450980393,0.9212337732315063,4.898111740356364
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,34,0.2222222222222222,0.920401930809021,4.834183739471307
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,35,0.22875816993464052,0.9201356768608093,4.95807828339628
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,36,0.23529411764705882,0.9199579954147339,5.0542882958277495
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,37,0.24183006535947713,0.9188106060028076,4.99874999670656
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,38,0.24836601307189543,0.9181442260742188,4.950658417373752
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,39,0.2549019607843137,0.9180766344070435,4.897638990199671
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,40,0.26143790849673204,0.9179182052612305,4.856522734932251
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,41,0.2679738562091503,0.9176800847053528,4.8126350408378755
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,42,0.27450980392156865,0.9174825549125671,4.914606668618472
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,43,0.28104575163398693,0.9173818826675415,4.8739829646313515
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,44,0.2875816993464052,0.9172548055648804,4.8296667237470094
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,45,0.29411764705882354,0.9171202182769775,4.864683166874864
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,46,0.3006535947712418,0.9169281721115112,4.881748793280921
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,47,0.30718954248366015,0.9165047407150269,4.959787213046154
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,48,0.3137254901960784,0.9164225459098816,4.916265438958881
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,49,0.3202614379084967,0.9160556197166443,4.873983464895572
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,50,0.32679738562091504,0.9155594706535339,4.878425947939946
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,51,0.3333333333333333,0.915316104888916,4.872994947586725
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,52,0.33986928104575165,0.9148335456848145,4.967433289850974
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,53,0.3464052287581699,0.9147825241088867,4.939000420100726
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,54,0.35294117647058826,0.9145336151123047,4.89519012797581
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,55,0.35947712418300654,0.91363126039505,4.866460341912476
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,56,0.3660130718954248,0.9136162400245667,4.869145011274094
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,57,0.37254901960784315,0.9131041169166565,4.8860660424269335
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,58,0.3790849673202614,0.9131014943122864,4.844856915778746
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,59,0.38562091503267976,0.912738561630249,4.843232710652642
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,60,0.39215686274509803,0.9124784469604492,4.814923280088135
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,61,0.39869281045751637,0.912458062171936,4.83065460814837
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,62,0.40522875816993464,0.9122375249862671,4.879730008662508
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,63,0.4117647058823529,0.9118223786354065,4.929426531061518
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,64,0.41830065359477125,0.9107953310012817,4.933386497745095
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,65,0.42483660130718953,0.910236120223999,5.0172558667216025
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,66,0.43137254901960786,0.9096406698226929,5.045668216547422
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,67,0.43790849673202614,0.908876895904541,5.01184561607724
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,68,0.4444444444444444,0.9088311791419983,5.080420098031151
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,69,0.45098039215686275,0.9086536169052124,5.113172812204595
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,70,0.45751633986928103,0.9080023169517517,5.086913812241285
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,71,0.46405228758169936,0.9076988697052002,5.136751383724963
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,72,0.47058823529411764,0.9072784781455994,5.106776420192081
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,73,0.477124183006536,0.9070740342140198,5.097671891492967
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,74,0.48366013071895425,0.9070528149604797,5.069016169327806
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,75,0.49019607843137253,0.9065947532653809,5.0387326868779505
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,76,0.49673202614379086,0.906548798084259,5.085607633793408
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,77,0.5032679738562091,0.9055871963500977,5.103358230452209
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,78,0.5098039215686274,0.9050666093826294,5.12483913278506
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,79,0.5163398692810458,0.9045974612236023,5.149563595191298
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,80,0.5228758169934641,0.9037312269210815,5.135374730508124
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,81,0.5294117647058824,0.9033615589141846,5.110389440505419
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,82,0.5359477124183006,0.902558445930481,5.087363875484669
