method,n_segments,translation_median_mm,translation_median_q1_mm,translation_median_q3_mm,translation_p95_mm,rotation_median_deg,rotation_p95_deg,effective_lag_median_ms,lag_compensated_residual_median_mm,cross_track_median_mm,translation_jump_p99_median_mm,update_rate_median_hz,hold_ratio_median_pct,observation_lag_median_ms,output_target_lag_median_ms,display_coverage_pct
Arrival-Hold,17,45.97619809326297,41.542977696753226,50.85560120830329,72.95174003201363,3.8202552138830743,6.652142930515504,180.0,8.942202558911957,5.026112798880807,39.12451600783414,9.552323778846707,85.8267716535433,216.69260000635404,48.8513000018429,100.0
Capture-Hold,17,65.89512687902157,55.57990310731905,70.20207030347744,98.98445924068425,4.657542224476874,8.35392673797763,255.0,8.677203223999909,5.496184564174543,40.98533509204898,9.552323778846707,85.8267716535433,216.69260000635404,216.69260000635404,100.0
One-Euro Anchor,17,98.78338423572725,86.98241535565842,106.54055721268881,139.52177833674136,7.5912682212552465,10.391076656986291,380.0,8.146597307550033,9.683570564911395,39.80200794783392,9.552323778846707,85.8267716535433,216.69260000635404,216.69260000635404,100.0
EgoAnchor,17,84.91318320015694,74.64181979564735,91.55617906207402,111.4721905990494,6.79052352005556,9.384928723229638,320.0,4.5317174207128055,6.9211493125579455,8.984964915073755,68.01506873840886,0.0,216.69260000635404,284.2882844088308,100.0
