segment,variant,active_frames,duration_s,reference_speed_median_m_s,reference_speed_p95_m_s,translation_median_mm,translation_p95_mm,rotation_median_deg,rotation_p95_deg,trailing_distance_median_mm,trailing_distance_p95_mm,cross_track_median_mm,cross_track_p95_mm,effective_lag_ms,lag_compensated_residual_mm,translation_jump_p95_mm,translation_jump_p99_mm,rotation_jump_p99_deg,update_rate_hz,hold_ratio_pct,observation_lag_median_ms,output_target_lag_median_ms,display_coverage_pct
1,Arrival-Hold,127,2.362429600005271,0.29278623872459025,0.42834059864332247,35.50795677130546,54.18532676066907,3.8202552138830743,5.294216883460886,35.480986608708,53.70221458740792,3.398528946405616,6.600402234311644,205.00000000000003,5.474749241994891,21.507086477306977,31.02499071660149,2.7499485342910117,9.867064872151978,85.8267716535433,216.14789999875939,45.08419999910984,100.0
1,Capture-Hold,127,2.362429600005271,0.29278623872459025,0.42834059864332247,49.44304837811152,70.34775326734831,4.6455570169771985,6.606730146737852,49.421217734787554,70.30209826317287,3.6122322719292814,6.979548036529168,260.0,5.051251312157501,22.201261202173665,31.477335520473765,2.704555287768844,9.867064872151978,85.8267716535433,216.14789999875939,216.14789999875939,100.0
1,One-Euro Anchor,127,2.362429600005271,0.29278623872459025,0.42834059864332247,76.19344208680924,104.03749111067349,6.429719605250481,8.529486835433405,75.9224679360924,103.6272922620622,5.178335614952219,10.89653042508615,385.0,4.38262177083532,20.673339535446956,30.585245781479124,2.0238317224151428,9.867064872151978,85.8267716535433,216.14789999875939,216.14789999875939,100.0
1,EgoAnchor,127,2.362429600005271,0.29278623872459025,0.42834059864332247,74.24696014337401,102.46268135313153,6.246401931231071,7.864737355937235,73.76383556844098,102.29667356718835,4.728880835815623,8.715061799642427,325.0,5.494272281117152,7.0836304413589675,8.736105103505091,0.6955562521372253,44.949962195359014,35.43307086614173,216.14789999875939,277.22667483612895,100.0
1,EgoAnchor w/o capture-time alignment,127,2.362429600005271,0.29278623872459025,0.42834059864332247,82.42339024522767,101.32941865035865,6.895667834819766,8.309855345436633,82.19498221773351,101.2094798391877,5.5237107746200715,10.904804757947563,390.0,5.0828613134366645,5.977923887289076,11.050548876536606,0.8507941328666538,49.33532436075989,29.133858267716533,216.14789999875939,250.02360000507906,100.0
1,EgoAnchor w/o VCD,127,2.362429600005271,0.29278623872459025,0.42834059864332247,74.24739282747386,102.46267020126776,6.246412983627596,7.864705358538578,73.7641207378608,102.29666130144331,4.72894218980213,8.715076457986079,325.0,5.494829254559653,7.084291244530963,8.736389443333776,0.6955845136494798,44.949962195359014,35.43307086614173,216.14789999875939,277.2303382807877,100.0
1,EgoAnchor w/o temporal synthesis,127,2.362429600005271,0.29278623872459025,0.42834059864332247,59.370179805352194,100.4771071339064,5.468460186318328,8.199038925333378,59.20811222163992,100.27778216486335,3.702639442470818,8.011347304563348,245.0,10.315755749856686,20.909167204983934,31.513017993714765,2.5924214281223468,31.245705428481266,55.118110236220474,216.14789999875939,194.46380000226782,100.0
1,EgoAnchor w/o StaticLock,127,2.362429600005271,0.29278623872459025,0.42834059864332247,65.65937353679492,83.62386206652916,5.928488507261168,7.486469018867208,65.48948720712188,83.48607570566448,4.336294046633965,8.2136327842771,335.0,3.1115030949638163,6.268053660939959,7.360117581720803,0.6090768935074878,69.61762437573896,0.0,216.14789999875939,285.08893993421225,100.0
2,Arrival-Hold,112,1.583068899999489,0.24867491681520165,0.31401001373160536,31.26721764967828,47.70172621888823,2.0851187500872035,3.4512586423148934,30.828587917192536,46.928096731932506,5.767930312611966,12.173363287340276,170.0,8.766116837267496,22.108487741296987,26.83497803621585,2.767934469771518,9.522383886891268,86.60714285714286,216.26499999911175,42.75665000022855,100.0
2,Capture-Hold,112,1.583068899999489,0.24867491681520165,0.31401001373160536,45.16323713696805,59.395059606163784,2.219238169678082,3.933077759030515,44.81679871574424,58.84425637979629,5.07091505064105,17.693665787926022,240.0,6.34064360531047,21.961115380016764,26.80330274084021,2.652175748824975,9.522383886891268,86.60714285714286,216.26499999911175,216.26499999911175,100.0
