segment,start_s,end_s,duration_s,displacement_mm,path_length_mm,median_reference_speed_m_s,p95_reference_speed_m_s,median_reference_angular_speed_deg_s
1,26.231205999996746,28.593635600002017,2.362429600005271,376.477483127099,379.8598973232567,0.27260137427094017,0.4281351719975786,14.78206015
2,28.593635600002017,30.176704500001506,1.583068899999489,268.06229038598326,281.8277074180558,0.24867491681520165,0.31401001373160536,15.2724409
3,30.176704500001506,32.36899789999734,2.192293399995833,470.1746968166839,487.3950701104503,0.340418457804489,0.4737274197794345,14.75517
4,32.36899789999734,34.18806760000007,1.8190697000027285,354.85402978532295,364.0699034899276,0.32142632176357,0.41808024474653616,15.7126589
5,34.18806760000007,36.368545799996355,2.180478199996287,539.7674063076148,545.5727391303619,0.39588282152506754,0.5436176903570689,22.448296550000002
6,36.368545799996355,38.49317219999648,2.1246264000001247,479.6318732567188,494.42393401291173,0.308564749309177,0.4559739711483797,17.51766915
7,38.49317219999648,40.826087699999334,2.332915500002855,574.102416239164,592.230552669008,0.3756534029688217,0.5616152214211219,19.78398
8,40.826087699999334,42.68710769999598,1.8610199999966426,449.3813558565268,456.71871357191384,0.3712128663579055,0.5448084336114432,22.74410245
9,42.68710769999598,44.270327799997176,1.5832201000011992,314.29661099156414,328.08871256952307,0.2956369440248583,0.4239505265816733,16.2416582
10,44.270327799997176,46.241991800001415,1.971664000004239,471.7440654888224,516.8204474734696,0.38118177123576186,0.5541109451856276,19.317389499999997
11,46.241991800001415,47.658271100001,1.4162792999995872,346.7104574561062,359.04728933883115,0.3547230752290589,0.4965340748264485,24.5212965
12,47.658271100001,49.35258199999953,1.694310899998527,446.52469579678916,451.38069994983874,0.35202234144460304,0.5649473790635473,28.7307739
13,49.35258199999953,51.10269609999523,1.7501140999956988,383.41879798478834,401.9614554089447,0.2980284590095503,0.4901635171628696,18.56698
14,51.10269609999523,52.991167599997425,1.888471500002197,588.8739953783593,595.5328704486765,0.3599014450487437,0.5895446386979135,24.3755779
15,52.991167599997425,55.11584959999891,2.124682000001485,474.6347999689068,519.0255647390613,0.3588604099920143,0.5157280788961147,25.386278150000003
16,55.11584959999891,57.18483749999723,2.0689878999983193,596.598455998519,606.0390392914996,0.4488853063680224,0.6463480765376766,25.661688249999997
17,57.18483749999723,59.26857600000221,2.0837385000049835,383.02154994526325,396.5757291100038,0.24035732435758914,0.35298465394312867,18.507061
