method,static_centered_p95_mm,static_frame_increment_p95_mm,translation_lag_ms,translation_residual_mm,render_step_p95_mm,render_step_max_mm,correction_step_p95_mm,correction_step_max_mm,start_response_ms,occlusion_p95_mm,occlusion_failures_gt40,rotation_lag_ms,rotation_residual_deg
Legacy direct,12.63827712684871,2.6189557209903844,170.0,26.717119777833226,21.852040182825316,57.01783830491463,39.005771869368964,57.017838304914626,188.22009999984584,9.595864726395954,0,200.0,6.202329625531284
Corrected direct,17.50363453032006,4.722122591793362,65.0,17.948467549329155,12.71273707259365,65.52599212747295,27.070154338812188,65.52599212747295,167.54959999979474,52.242519713235424,6,97.5,7.142935245079811
Corrected continuous,12.06238752179919,1.891623018602802,165.0,14.53006921634525,8.86841488191556,19.28661462843816,6.722590168397204,8.339944447965502,242.38680000008026,6.002917890583454,0,207.5,5.696344814225272
Buffered-Hermite,9.876316209495442,1.4526563273902182,320.0,4.813973172011819,7.249347970198193,11.955118960716343,6.848412706551078,11.331711628812577,284.6045999999551,5.530712417099877,0,330.0,2.608487954566525
