method,n_events,visible_response_median_ms,visible_response_q1_ms,visible_response_q3_ms,settling_median_ms,settling_q1_ms,settling_q3_ms,motion_translation_median_of_event_medians_mm,motion_translation_median_of_event_p95_mm,motion_rotation_median_of_event_medians_deg,motion_rotation_median_of_event_p95_deg,motion_update_rate_median_hz,motion_hold_ratio_median_pct,motion_translation_jump_p99_median_mm,motion_rotation_jump_p99_median_deg,observation_lag_median_ms,output_target_lag_median_ms,display_coverage_pct
Arrival-Hold,5,126.34390000312123,102.41470000619302,227.82290000031935,720.0000000000273,690.0000000000261,1080.000000000041,17.459428399463786,48.36148829188886,4.938272506073209,24.00071005985089,9.946754675244714,85.57046979865773,23.255054880068315,7.8438822484379145,216.48580000328366,42.61620000033872,100.0
Capture-Hold,5,250.28980000206502,167.8401000026497,291.354400003911,840.0000000000318,660.000000000025,1080.000000000041,19.755145450210613,58.35113244301428,6.199813505540535,24.032488762610708,9.946754675244714,85.57046979865773,20.89506897301486,7.967434394408498,216.48580000328366,216.48580000328366,100.0
One-Euro Anchor,5,333.3249000061187,250.28980000206502,382.7277000018512,720.0000000000273,720.0000000000273,720.0000000000273,26.70011753125903,86.30131402798294,8.704649517843578,30.480412241834465,9.946754675244714,85.57046979865773,18.408728186081575,8.220111529803932,216.48580000328366,216.48580000328366,100.0
EgoAnchor,5,751.0529999999562,689.6097999997437,791.0830000037095,600.0000000000227,510.0000000000193,630.0000000000239,30.13872416910188,75.39111068364114,8.221840025270911,33.34119610863863,48.21541453500554,30.2496328928047,6.673876320927665,2.9673154394747927,216.48580000328366,282.2877613507444,100.0
