event,variant,motion_duration_s,visible_response_ms,settling_ms,staticlock_unlock_ms,staticlock_relock_ms,motion_translation_median_mm,motion_translation_p95_mm,motion_rotation_median_deg,motion_rotation_p95_deg,poststop_translation_median_mm,poststop_translation_p95_mm,poststop_rotation_median_deg,poststop_rotation_p95_deg,motion_update_rate_hz,motion_hold_ratio_pct,motion_translation_jump_p95_mm,motion_translation_jump_p99_mm,motion_rotation_jump_p95_deg,motion_rotation_jump_p99_deg,observation_lag_median_ms,output_target_lag_median_ms,display_coverage_pct
1,Arrival-Hold,7.35222480000084,227.82290000031935,720.0000000000273,0.0,,14.835099655558233,48.36148829188886,3.1700778958035642,5.155018447568223,5.689899299872205,9.252154183274943,2.6355110681668794,4.01526324936131,9.656940848706352,85.59837728194725,12.197480627391096,20.876002364372418,1.649909088617115,2.581337576343355,216.88559999893187,48.82510000243201,100.0
1,Capture-Hold,7.35222480000084,131.65380000282312,660.000000000025,0.0,,18.05747796790859,58.35113244301428,3.325680934828984,5.665605913912155,5.015261351205853,8.398530179933383,2.7110143976271432,4.054061766815393,9.656940848706352,85.59837728194725,11.511904345727622,18.24146893315678,1.634653755433967,2.4424293372799677,216.88559999893187,216.88559999893187,100.0
1,One-Euro Anchor,7.35222480000084,436.9160999995074,720.0000000000273,0.0,,23.554723280908547,86.30131402798294,3.9440623588251693,7.469589406084737,4.917811407062272,16.287703665675515,2.5794482806689474,3.922953495964121,9.656940848706352,85.59837728194725,9.156346158165146,17.821758776151725,0.8721327921717352,1.7484277083596322,216.88559999893187,216.88559999893187,100.0
1,EgoAnchor,7.35222480000084,799.7744000022067,600.0000000000227,769.7199000031105,666.7327000031946,30.13872416910188,74.33887409926349,3.9387088373698242,6.6942847894258755,4.798779263057037,8.435057027560836,2.8282675163496434,3.239082396258927,38.62776339482541,42.393509127789045,3.64436782477082,5.861444833998325,0.49306066755245515,0.7803956720606953,216.88559999893187,284.83767255966086,100.0
1,EgoAnchor w/o capture-time alignment,7.35222480000084,799.7744000022067,630.0000000000239,769.7199000031105,666.7327000031946,32.116050799853944,91.74576317622743,4.671150379371833,8.17247982239985,4.341647032868982,10.83950027152698,2.656502617356483,3.420067145828232,38.491750143435176,42.59634888438134,3.6455397398362592,5.780598252589334,0.5167766427424697,0.7123375567639902,216.88559999893187,250.02300000051036,100.0
1,EgoAnchor w/o VCD,7.35222480000084,799.7744000022067,600.0000000000227,769.7199000031105,666.7327000031946,30.1387314572898,74.33984468132373,3.938699238547353,6.6942840832151465,4.798791502895849,8.43509757154246,2.8282712363338933,3.239081936174738,38.62776339482541,42.393509127789045,3.6446952319853367,5.861558699353242,0.4931089195445281,0.7804781089476308,216.88559999893187,284.841283755668,100.0
1,EgoAnchor w/o temporal synthesis,7.35222480000084,799.7744000022067,630.0000000000239,769.7199000031105,666.7327000031946,27.485954911076245,58.35113244301428,3.412405820564513,5.665605913912155,4.632735960948687,6.508475160665852,2.6948636850709438,3.193197673274093,16.321590166827637,75.65922920892496,11.592227761539446,18.25574937330306,1.3508717728429354,2.4424293372799677,216.88559999893187,216.60084999894025,100.0
1,EgoAnchor w/o StaticLock,7.35222480000084,207.77909999742405,1530.000000000058,0.0,,20.464089099719132,74.34000227798154,3.60754567526124,6.693591651413201,5.391954323002101,12.151246464750233,2.71571161794888,4.044025558027481,67.05453293538353,0.0,3.6044246647786733,5.86139921071988,0.5361991959941846,0.8584497542235273,216.88559999893187,287.02425042502,100.0
2,Arrival-Hold,9.851621200003137,250.28980000206502,690.0000000000261,0.0,,10.246170823830816,40.29664801155295,7.535787333988983,24.00071005985089,10.87280528882372,12.071850598561419,3.075557580040875,4.548721144113797,9.947601314590617,85.6093979441997,3.407775808176933,18.12066631144909,4.001539878103838,8.94153749027429,216.20875000371598,43.32474999682745,100.0
2,Capture-Hold,9.851621200003137,250.28980000206502,840.0000000000318,0.0,,10.4662060550574,50.00941766954889,7.523443810093527,24.032488762610708,10.881090353986899,12.250055157714993,3.0660493943332803,4.342278532664128,9.947601314590617,85.6093979441997,3.160228815481724,17.116213151952188,3.99713426038633,8.968543661234426,216.20875000371598,216.20875000371598,100.0
2,One-Euro Anchor,9.851621200003137,250.28980000206502,720.0000000000273,0.0,,11.867749996546767,77.325624814695,11.027366234073991,30.480412241834465,10.70498390173533,11.88335762290123,3.088631648898177,4.0725519802839845,9.947601314590617,85.6093979441997,2.4954655572590028,17.905037390088467,4.063176248262702,8.220111529803932,216.20875000371598,216.20875000371598,100.0
2,EgoAnchor,9.851621200003137,666.2464000037289,660.000000000025,632.7913999994053,862.6850000000559,10.817568864564688,72.27274475976564,9.644636469830155,39.25061993021434,9.411012906308851,10.67544485964554,4.062495338806725,6.6922253597436425,48.21541453500554,30.2496328928047,3.4675072569298213,6.673876320927665,2.102928253078641,3.829470800479596,216.20875000371598,281.1448382635717,100.0
2,EgoAnchor w/o capture-time alignment,9.851621200003137,560.9317000053125,720.0000000000273,542.3678000006475,862.6850000000559,12.445407919946334,86.81419717664254,13.154431318845617,43.3442711470262,8.961648121437118,10.137419972845827,3.868827230792325,6.33737619771984,47.80938999155286,30.837004405286343,3.287792207428249,5.987545755444381,2.103437536209101,3.4844048184562517,216.20875000371598,250.02300000051036,100.0
2,EgoAnchor w/o VCD,9.851621200003137,666.2464000037289,660.000000000025,632.7913999994053,862.6850000000559,10.817690159440195,72.27339675375099,9.644683087345882,39.25070167474821,9.41095509873181,10.675379311381226,4.062419466202712,6.692192927687897,48.21541453500554,30.2496328928047,3.467492703039488,6.675758592629082,2.1027030648643783,3.8293440039743976,216.20875000371598,281.1461944402254,100.0
2,EgoAnchor w/o temporal synthesis,9.851621200003137,644.7765999982948,720.0000000000273,632.7913999994053,862.6850000000559,10.60682623352025,63.252542393486515,8.319427982222349,37.20345357909351,9.72579638542959,11.3773470670111,3.437552183366215,5.913586973051401,30.857865302403546,55.359765051395,3.104334451198541,16.618213657829784,3.438445080255183,7.970821233454748,216.20875000371598,216.20289999555098,100.0
2,EgoAnchor w/o StaticLock,9.851621200003137,291.44970000197645,900.0000000000341,0.0,,10.795115702704708,65.58271190429532,9.642303975887554,31.681721232570453,10.848000710034615,12.117686353913275,3.083593376467189,4.249387042747377,69.12567852281848,0.0,3.2156083656311374,5.469182642223533,1.7892592927818323,2.7883993887378766,216.20875000371598,281.0861842917802,100.0
3,Arrival-Hold,2.0541119000045,126.34390000312123,1470.0000000000557,0.0,,38.48223200508612,57.729972663913365,3.5938842178443657,5.5774754773012525,5.444356054731466,9.691866716602897,2.5839718173106565,4.757005431410026,10.223396300831515,85.3146853146853,21.40347032125608,27.487481555385088,2.22038114658746,2.9482775780223656,215.95004999471712,42.35609999886947,100.0
3,Capture-Hold,2.0541119000045,333.3249000061187,1470.0000000000557,0.0,,50.68743290481822,72.8265474474522,4.267320470084054,6.500695583347988,5.387405766886806,10.069340621976751,2.5565886300289664,4.709105250822882,10.223396300831515,85.3146853146853,20.61855861979824,27.370273481590413,2.078386368874527,2.875278767931001,215.95004999471712,215.95004999471712,100.0
3,One-Euro Anchor,2.0541119000045,333.3249000061187,720.0000000000273,0.0,,75.59105720939904,105.26866730901712,6.024777109907526,8.828058640352117,5.436196617838018,10.091784852442101,2.3160395596213235,4.2524934782414014,10.223396300831515,85.3146853146853,19.33177735015233,28.732472633340034,1.44955561323875,2.2984601691707254,215.95004999471712,215.95004999471712,100.0
3,EgoAnchor,2.0541119000045,751.0529999999562,630.0000000000239,743.6946000016178,750.3226999979233,74.78438971785519,101.90413774262332,6.25952284712465,7.300755265494907,4.649220454082506,6.470291703036133,1.4288483679480475,3.802676802572701,44.301383970269896,36.36363636363637,6.623208416242716,8.204983610673295,0.6061079802614915,0.8865923666415797,215.95004999471712,272.52607337140944,100.0
3,EgoAnchor w/o capture-time alignment,2.0541119000045,751.0529999999562,600.0000000000227,743.6946000016178,667.5086999966879,89.53071594138135,106.65486235610656,6.592880887165844,8.964207914548286,6.444819175248394,6.935828026772627,2.1143734880470206,3.646770584261047,44.301383970269896,36.36363636363637,6.413044791823489,7.3426618757634365,0.6256420205927015,0.8952840059674054,215.95004999471712,250.02355000106036,100.0
3,EgoAnchor w/o VCD,2.0541119000045,751.0529999999562,630.0000000000239,743.6946000016178,750.3226999979233,74.78489739432064,101.90378858586517,6.259580479550745,7.3007308753755575,4.6492242315585415,6.4702963478142115,1.428842424034175,3.802674994255206,44.301383970269896,36.36363636363637,6.6236097308029835,8.20532627241163,0.6061637190279703,0.8866589108949959,215.95004999471712,272.5307146538398,100.0
3,EgoAnchor w/o temporal synthesis,2.0541119000045,751.0529999999562,720.0000000000273,743.6946000016178,750.3226999979233,59.93667757069649,102.44607874101071,5.1605557551180095,6.5003473647262835,4.358890121062892,6.710106396280126,2.0091015916266173,3.774710313270456,26.775561740273016,61.53846153846154,20.846089590030537,27.433143414299444,1.6978373494885557,2.880018475203303,215.95004999471712,194.91299999936018,100.0
3,EgoAnchor w/o StaticLock,2.0541119000045,333.3249000061187,1590.0000000000603,0.0,,66.06353224906917,81.82225080090875,4.873715949999459,7.0272582846963,5.391379507474143,10.156839725451619,2.5151092636061456,4.586317092960181,69.61646052470984,0.0,5.765036608960763,6.572591879736437,0.6153824477549136,0.8347219235655529,215.95004999471712,272.3160314380948,100.0
4,Arrival-Hold,8.646036099999037,0.0,1080.000000000041,0.0,,17.459428399463786,42.993941925788555,9.866843243276843,34.35477586683648,10.245048022623639,12.653735381712563,2.5006837014954666,3.6763045180974325,9.946754675244714,85.57046979865773,12.299922744368317,23.255054880068315,5.966423189964155,15.181585459754842,216.48580000328366,42.61620000033872,100.0
4,Capture-Hold,8.646036099999037,167.8401000026497,1080.000000000041,0.0,,19.755145450210613,56.88133956860055,10.06785582205052,34.384001744899365,10.185833202106394,12.279156182514209,2.507591505190647,3.614834454375014,9.946754675244714,85.57046979865773,11.66373492798683,20.89506897301486,5.983487171681222,15.235270498310268,216.48580000328366,216.48580000328366,100.0
4,One-Euro Anchor,8.646036099999037,239.44869999832008,810.0000000000307,0.0,,26.70011753125903,83.90091261345002,14.38646084233413,44.39908555623324,10.018625224961955,11.75539057169504,2.399622896416015,3.4798968415193237,9.946754675244714,85.57046979865773,10.167244059363117,18.408728186081575,6.274976632162744,13.695697844245002,216.48580000328366,216.48580000328366,100.0
4,EgoAnchor,8.646036099999037,689.6097999997437,510.0000000000193,655.3964999984601,603.6994000023697,23.85817800093593,75.39111068364114,12.634779187174678,43.178004914002514,9.709741665755566,11.618491374506364,3.1476539631895384,3.8988157905581353,64.19126563675368,6.879194630872483,4.3848192898830565,5.922177211252831,2.7162979019501625,4.342808682430319,216.48580000328366,282.2877613507444,100.0
4,EgoAnchor w/o capture-time alignment,8.646036099999037,689.6097999997437,510.0000000000193,655.3964999984601,603.6994000023697,28.924018399972603,86.10164877150174,18.43587096636967,61.67875216420803,9.616576253985873,11.634119795889873,3.482083302154162,4.404002904624424,59.4492081752998,13.758389261744966,4.396621012529674,6.337895333138561,3.1271529895163064,4.728709655599053,216.48580000328366,250.02259999746457,100.0
4,EgoAnchor w/o VCD,8.646036099999037,689.6097999997437,510.0000000000193,655.3964999984601,603.6994000023697,23.858174074413807,75.3911733902422,12.634932639072149,43.178349240557445,9.709573637420402,11.61850951669221,3.1476634367672887,3.8988157905581353,64.19126563675368,6.879194630872483,4.385048721131804,5.9227107927603715,2.7166664983092024,4.34295791505912,216.48580000328366,282.28901484180824,100.0
4,EgoAnchor w/o temporal synthesis,8.646036099999037,689.6097999997437,570.0000000000216,655.3964999984601,603.6994000023697,19.755145450210613,66.87407867821625,10.06785582205052,34.384001744899365,9.787901526360523,11.57006259978435,2.8145561695312833,3.5517349342198163,13.994852508193144,79.69798657718121,11.605297759855969,20.89506897301486,5.983487171681222,15.235270498310268,216.48580000328366,216.04900000238558,100.0
4,EgoAnchor w/o StaticLock,8.646036099999037,231.05450000002747,1170.0000000000443,0.0,,23.8581746268313,71.8677131705415,12.63492958393639,43.17843349408267,10.101458649980438,12.218121451690838,2.480257211947758,3.80348434527756,68.93332309820755,0.0,4.193355788811073,5.322067324354979,2.716738330657369,4.342975099358386,216.48580000328366,284.5033964840695,100.0
5,Arrival-Hold,3.102041600002849,102.41470000619302,450.00000000001705,0.0,,28.27898905486766,54.057958059516835,4.938272506073209,27.99737008587877,5.673895993070624,8.490603362974571,2.831813681681762,4.619111775273851,9.671050188357386,85.36585365853658,17.564134720983166,26.769791414722086,3.967300262663845,7.8438822484379145,223.4673000020848,42.23275000185822,100.0
5,Capture-Hold,3.102041600002849,291.354400003911,450.00000000001705,0.0,,36.27000977258214,77.89449954206171,6.199813505540535,27.926377143126416,5.605909114877251,8.395710613046754,2.8329762655056565,4.603286548119236,9.671050188357386,85.36585365853658,18.250351868242618,28.747891314390284,3.8549833587930844,7.967434394408498,223.4673000020848,223.4673000020848,100.0
5,One-Euro Anchor,3.102041600002849,382.7277000018512,540.0000000000205,0.0,,48.89506513697174,111.41193078209676,8.704649517843578,33.79115993254318,5.847569538188022,8.780264038755774,2.8880509645764816,5.735101865770321,9.671050188357386,85.36585365853658,16.443853413498573,29.9806865135126,2.742720225345611,9.55371180623784,223.4673000020848,223.4673000020848,100.0
5,EgoAnchor,3.102041600002849,791.0830000037095,480.0000000000182,769.1259999992326,541.6887999963365,49.28826806091327,109.59588376808027,8.221840025270911,33.34119610863863,6.555130416909495,9.604838864601994,2.9559489003197967,5.0242625884471295,49.96709263984649,24.390243902439025,6.667099012586843,10.351819780017284,1.576582428011871,2.9673154394747927,223.4673000020848,292.5906113014207,100.0
5,EgoAnchor w/o capture-time alignment,3.102041600002849,707.4983999991673,1050.0000000000398,685.6677000032505,541.6887999963365,55.49594198611084,105.06553396371254,9.105438230719972,42.58511533913439,5.819359399780891,9.606100967872022,3.4446915173192023,5.558561470927732,51.578934337906055,21.951219512195124,6.247541425149558,7.603688281312192,1.6731407753096306,3.220580739644173,223.4673000020848,250.0233999962802,100.0
5,EgoAnchor w/o VCD,3.102041600002849,791.0830000037095,480.0000000000182,769.1259999992326,541.6887999963365,49.28850776574541,109.59585010494726,8.221854825103327,33.34144371866583,6.555163919752744,9.604842617120514,2.9560393031138563,5.024262593472699,49.96709263984649,24.390243902439025,6.68531388086745,10.352220806659947,1.5765369490255607,2.967464343285993,223.4673000020848,292.5970979194972,100.0
5,EgoAnchor w/o temporal synthesis,3.102041600002849,791.0830000037095,450.00000000001705,769.1259999992326,541.6887999963365,38.47670938325361,110.02076238905067,7.055421502923843,27.926377143126416,5.8471503647127445,9.332714538764476,2.9624971882422937,4.967164406353642,20.631573735162423,68.78048780487805,17.726371201612988,28.90470674372542,3.7300960544503767,7.967434394408498,223.4673000020848,217.05595000094036,100.0
5,EgoAnchor w/o StaticLock,3.102041600002849,352.1900000050664,510.0000000000193,0.0,,45.79804533216536,88.50414698700695,7.75071422184232,33.34150207522706,5.708269862172607,8.475875859407699,2.8768551596252947,4.704283284125583,66.08550962044214,0.0,5.742203090326496,6.901668065396079,1.5765308238046882,2.9674373325850945,223.4673000020848,288.0433926657133,100.0
