component,diagnostic_task,full_variant,ablated_variant,primary_benefit_metric,full_value,ablated_value,effect_direction,relative_benefit_pct,accuracy_or_latency_cost_metric,full_cost_value,ablated_cost_value,cost_delta,additional_output_lag_ms
Temporal synthesis,Start-stop 6DoF: motion phase,EgoAnchor,EgoAnchor w/o temporal synthesis,Motion translation jump P99 (mm),6.673876320927665,20.89506897301486,Lower is better,68.06004167994513,Motion translation median (mm),30.13872416910188,27.485954911076245,2.6527692580256357,66.08486135519342
StaticLock,Start-stop 6DoF: transitions,EgoAnchor,EgoAnchor w/o StaticLock,Post-stop settling time (ms),600.0000000000227,1170.0000000000443,Lower is better,48.71794871794872,Visible response time (ms),751.0529999999562,291.44970000197645,459.6032999979798,
