event,marker_s,window_end_s,reference_onset_s,reference_stop_s,motion_duration_s,motion_bout_count
1,8.933304700003646,24.934506300000066,9.997154299999238,17.34937910000008,7.35222480000084,4
2,24.934506300000066,43.97034530000383,25.786725999998453,35.63834720000159,9.851621200003137,6
3,43.97034530000383,57.98241550000239,44.624487499997485,46.678599400001985,2.0541119000045,1
4,57.98241550000239,76.6192310999977,58.676733799999056,67.3227698999981,8.646036099999037,3
5,76.6192310999977,89.91099399999803,77.12793129999773,80.22997290000058,3.102041600002849,1
