frame_id,t_s,capture_t_s,period,decision,score,trans_raw_err_mm,rot_raw_err_deg,harmful_20mm_10deg,harmful_10mm_5deg,harmful_candidate
633,0.18564809999952558,0.003050699997402262,baseline,accepted,0.744909763,6.654887806188041,2.0296727289619407,False,False,False
635,0.29631379999773344,0.08771709999564337,baseline,accepted,0.744257331,6.7583271116169765,3.6887918297908797,False,False,False
638,0.39542689999507274,0.2124448999966262,baseline,accepted,0.7483377,6.723015617892597,2.368433948903564,False,False,False
641,0.5041953999971156,0.33774939999420894,baseline,accepted,0.7419044,6.51549472593101,3.5013455190866334,False,False,False
643,0.6022754000005079,0.4212257999970461,baseline,accepted,0.749442339,6.891010049521037,2.2378878695180466,False,False,False
646,0.7127545999974245,0.545674399996642,baseline,accepted,0.7464882,6.65838697068453,2.432215404898353,False,False,False
648,0.8105288999940967,0.6288175999943633,baseline,accepted,0.7493205,6.288747110280111,3.0576296480493346,False,False,False
651,0.9069143999950029,0.7547530000010738,baseline,accepted,0.7514354,6.59887781964613,2.3649451200550575,False,False,False
653,1.0042847999939113,0.8376739999948768,baseline,accepted,0.731799543,6.434500523021678,2.442112718514844,False,False,False
655,1.1157485000003362,0.9212249999982305,baseline,accepted,0.7435524,6.27605169801594,2.6366251460216383,False,False,False
657,1.2268086999974912,1.0045964999953867,baseline,accepted,0.7404318,6.5956256470435655,2.9372017363372422,False,False,False
658,1.3232659999994212,1.0459314999970957,baseline,accepted,0.743766248,7.931294358546401,3.9457588252050333,False,False,False
659,1.4207553999949596,1.0876895999972476,baseline,accepted,0.7716454,8.55491108475401,4.1145474719961275,False,False,False
663,1.5451241999980994,1.2546029000004637,baseline,accepted,0.891875267,8.966021056351682,7.303727684153407,False,True,False
667,1.6287922999981674,1.4210649999949965,baseline,accepted,0.8921993,13.40144859463169,7.305544407198018,False,True,False
671,1.7540707999942242,1.587138999995659,baseline,accepted,0.865119755,12.953912698580371,9.967294736131942,False,True,False
673,1.8529239999988931,1.6705012999955215,baseline,accepted,0.8359583,9.400370247937294,10.20276957960943,True,True,True
676,1.9785992999968585,1.795888599997852,baseline,accepted,0.7444558,8.182094741433012,2.3985575461914346,False,False,False
679,2.0870444999964093,1.920926699996926,baseline,accepted,0.7486111,7.303619275523184,7.207689640723341,False,True,False
682,2.186085399996955,2.044743499995093,baseline,accepted,0.7667248,8.269590496898108,3.318728731219537,False,False,False
684,2.282170300000871,2.128535899995768,baseline,accepted,0.770870268,4.78550892984739,5.036730481426756,False,True,False
686,2.394124499995087,2.212187899996934,baseline,accepted,0.7560616,4.647028044636876,5.295813851020963,False,True,False
689,2.4896592000004603,2.3370948000010685,baseline,accepted,0.7400083,4.1735278091363925,4.96309738055093,False,False,False
691,2.5873935999989044,2.4205173999944236,baseline,accepted,0.7367317,3.9335136856336987,6.810780938626944,False,True,False
693,2.670519499995862,2.5041093999971054,baseline,accepted,0.7185159,2.8712882741875556,6.242379553933848,False,True,False
696,2.7822613999960595,2.6287891999963904,baseline,accepted,0.7261798,4.47903849610349,6.2240878164485345,False,True,False
698,2.879106699998374,2.712218499997107,baseline,accepted,0.700518548,4.695099601244759,2.0851917946408522,False,False,False
701,2.989863899994816,2.8377486999961548,baseline,accepted,0.6939125,5.440383506082319,1.779568137836193,False,False,False
703,3.102219399996102,2.9207139999998617,baseline,accepted,0.7431497,6.53300311690615,2.355443687691086,False,False,False
705,3.199148599996988,3.0039637999943807,baseline,accepted,0.748295963,5.769201880279405,0.7420596641868853,False,False,False
708,3.3118525999962003,3.1293497999940882,baseline,accepted,0.7453008,3.3594839710852935,2.3816143785241706,False,False,False
711,3.4204638000010164,3.2541809999966063,baseline,accepted,0.737933755,4.414770606365997,1.9921267223965322,False,False,False
713,3.531838199996855,3.3375597999984166,baseline,accepted,0.750019968,6.445114969739236,5.979677091238935,False,True,False
716,3.6434597999977996,3.4617780999979004,baseline,accepted,0.917123139,6.376084106779999,2.3969449345379505,False,False,False
718,3.740020499993989,3.5450153999991016,baseline,accepted,0.9116371,6.103991844396576,4.054794408536422,False,False,False
722,3.8648874999998952,3.712287899994408,baseline,accepted,0.889081538,5.482519125586925,2.52817100674891,False,False,False
724,3.961981899999955,3.7961606999961077,baseline,accepted,0.9145781,5.255393226355887,5.381212949385418,False,True,False
726,4.0727052000002,3.879028899995319,baseline,accepted,0.916969657,4.8793977135586575,4.48539182619833,False,False,False
729,4.170335599999817,4.0041783999986365,baseline,accepted,0.954804063,2.7547588794290716,2.084657948856282,False,False,False
731,4.282140099996468,4.086771199996292,baseline,accepted,0.9053129,2.586121028205958,2.5982383653668983,False,False,False
734,4.394082399994659,4.212017099998775,baseline,accepted,0.9199473,7.506107799853201,2.106199547182532,False,False,False
737,4.5030143999974825,4.337386100000003,baseline,accepted,0.914308,2.966909021602615,4.58362331941119,False,False,False
739,4.601489699998638,4.421220099997299,baseline,accepted,0.936922,2.1418477365685753,2.066085699884573,False,False,False
741,4.739682999999786,4.503321699994558,baseline,accepted,0.945833743,2.3979532422417718,2.1276100895084893,False,False,False
745,4.808890699998301,4.669794499997806,baseline,accepted,0.943802953,3.2185940082678215,2.4955789249666513,False,False,False
747,4.920623199999682,4.753959499998018,baseline,accepted,0.9265611,2.2586131162766763,2.1445650653696204,False,False,False
749,5.03128519999882,4.83697669999674,baseline,accepted,0.9412346,3.0067839739103146,5.2820816848614,False,True,False
752,5.156858899994404,4.96154309999838,baseline,accepted,0.9437135,1.525591185274807,2.5776644448287978,False,False,False
754,5.239362100001017,5.04451049999625,baseline,accepted,0.9397124,2.1816452370321415,2.72169884904578,False,False,False
757,5.3369032999980845,5.170013700000709,baseline,accepted,0.948637,1.7070701334453167,3.6518972422636593,False,False,False
759,5.43476159999409,5.253546299994923,baseline,accepted,0.9240735,1.4358253961885192,4.748542852340415,False,False,False
762,5.572865499998443,5.378240300000471,baseline,accepted,0.9427393,1.6650745507453961,3.974155969453505,False,False,False
765,5.669989299996814,5.503261400001065,baseline,accepted,0.9349251,1.4527572419798696,2.821356277185285,False,False,False
767,5.781007899997348,5.586313599997084,baseline,accepted,0.9464182,1.7961952945179622,3.01945142699835,False,False,False
769,5.878309799998533,5.67029509999702,baseline,accepted,0.9478354,1.7024708153350387,2.395783390267664,False,False,False
773,5.989745799997763,5.836627399999998,baseline,accepted,0.939963,1.2626623927523024,3.0193468691866605,False,False,False
775,6.076158299998497,5.9201931999996305,baseline,accepted,0.95892936,1.6293911835295118,2.9365896916298904,False,False,False
778,6.2274030999979,6.0450102999966475,baseline,accepted,0.9489523,1.4564600626755853,2.1300654819165405,False,False,False
780,6.295223699999042,6.131786499994632,baseline,accepted,0.949862,1.8266722390510948,2.0277314003791598,False,False,False
783,6.4199031999960425,6.253721699999005,baseline,accepted,0.9396192,2.0616085600294083,3.5029843658312294,False,False,False
785,6.519578599996748,6.336885299999267,baseline,accepted,0.9499381,1.6584587377275652,2.962832227909447,False,False,False
788,6.6280750000005355,6.461985299996741,baseline,accepted,0.936063051,1.730282948083922,2.923988679334963,False,False,False
