event,occlusion_start_s,visible_s,occlusion_duration_s,window_end_s
1,25.264033599996765,28.95983339999657,3.6957997999998042,32.05728979999549
2,32.05728979999549,36.001559199998155,3.9442694000026677,39.6675041999988
3,39.6675041999988,42.76343089999864,3.0959266999998363,45.20702919999894
4,45.20702919999894,48.40329479999491,3.196265599995968,51.02591889999894
5,51.02591889999894,54.55269340000086,3.5267745000019204,59.26241450000089
6,59.26241450000089,62.27425669999502,3.0118421999941347,64.676899399994
7,64.676899399994,67.85679299999902,3.179893600005016,75.73147259999678
