event,variant,occlusion_duration_s,candidate_count_occlusion,candidate_pose_count_occlusion,candidate_no_pose_count_occlusion,candidate_count_post_visible,candidate_pose_count_post_visible,admission_accepted_occlusion,admission_rejected_occlusion,admission_no_pose_occlusion,pre_trans_p95_mm,pre_rot_p95_deg,stable_trans_threshold_mm,stable_rot_threshold_deg,occlusion_trans_median_mm,occlusion_trans_p95_mm,occlusion_trans_max_mm,occlusion_rot_p95_deg,occlusion_rot_max_deg,occlusion_jump_p95_mm,occlusion_jump_max_mm,occlusion_jump_p95_deg,occlusion_jump_max_deg,occlusion_harmful_output_jumps,post_trans_p95_mm,post_trans_max_mm,post_rot_p95_deg,post_rot_max_deg,post_jump_max_mm,post_jump_max_deg,first_fresh_display_ms,durable_recovery_ms,durable_recovery_success,display_coverage_pct,frozen_fraction_occ_pct,tracking_fraction_post_pct
1,Arrival-Hold,3.6957997999998042,49,13,36,30,30,13,0,16,15.025332969565108,5.539413987312628,30.050665939130216,11.078827974625256,50.10605297651233,50.10605297651233,50.10605297651233,39.788394537666434,39.788394537666434,0.5869299349176424,57.84531034491053,0.43077294740051486,44.684053307018445,4,3.9285065098915624,4.229962453263646,5.556591695033831,6.137700116430182,1.4707776291544943,3.6408609412177912,251.33930000447435,251.33930000447435,True,100.0,9.282700421940929,0.0
1,Capture-Hold,3.6957997999998042,49,13,36,30,30,13,0,16,1.9760047505029388,5.56456163727168,10.0,11.12912327454336,49.1451330156033,49.1451330156033,49.1451330156033,40.01473307565501,40.01473307565501,0.24702447398112673,49.618000586717216,0.4011304596232587,45.38763003661142,3,3.4447514339768626,3.6627126831774666,5.562090163262966,6.165493328197773,1.49151284146821,3.6420070609692172,251.33930000447435,251.33930000447435,True,100.0,9.282700421940929,0.0
1,One-Euro Anchor,3.6957997999998042,49,13,36,30,30,13,0,16,1.9186768583754996,4.11228590291018,10.0,8.22457180582036,22.752804270483907,22.752804270483907,22.752804270483907,21.41774982771611,21.41774982771611,0.04911599587033173,23.219263698564017,0.12673754701516357,26.789887063527054,2,2.892734432372897,3.0328484495814703,4.747195216126678,5.034830506050398,0.5686447190188096,1.611937109797531,251.33930000447435,251.33930000447435,True,100.0,9.282700421940929,0.0
1,EgoAnchor,3.6957997999998042,49,13,36,30,30,12,1,16,1.483498257822607,3.3907109065348475,10.0,8.0,1.1517313339385742,2.431439800865689,2.9096738357762653,5.6643750903528245,5.6643750903528245,0.0,2.481639597629965,1.7075472925031877e-06,4.4368952741312,0,2.5448818470547825,2.5512850825044833,5.6643750903528245,5.6643750903528245,0.03661336228971662,0.09553050207163301,251.33930000447435,251.33930000447435,True,100.0,13.502109704641349,0.0
1,EgoAnchor w/o VCD,3.6957997999998042,49,13,36,30,30,13,0,16,1.483498257822607,3.3907109065348475,10.0,8.0,71.19185529456196,77.47163166467737,77.47163166467737,63.00257624488548,63.00257624488548,0.9862770567711368,77.93362048293434,0.8990288351263714,68.38358160225687,4,2.5448776699812035,2.551280919050256,5.664397197198152,5.664397197198152,0.036613362289713826,0.0955306137491186,251.33930000447435,251.33930000447435,True,100.0,9.282700421940929,0.0
1,EgoAnchor w/o temporal synthesis,3.6957997999998042,49,13,36,30,30,12,1,16,1.4737545286378826,3.394321309972518,10.0,8.0,1.1454446377498124,2.4674635807167706,2.9096738357762653,5.213651564193201,5.405313393045405,0.0,2.4787486506083796,2.9575586669421963e-06,3.741264620379888,0,2.5649153771280413,2.5655569234304583,5.113718240932595,5.11498819280632,0.03759247373930609,0.08534701269075742,251.33930000447435,251.33930000447435,True,100.0,13.502109704641349,0.0
1,EgoAnchor w/o StaticLock,3.6957997999998042,49,13,36,30,30,12,1,16,2.677748193717505,5.160088259246742,10.0,10.320176518493485,7.022323396115143,7.507310450062187,7.507310450062187,9.161833778650182,9.161833778650182,0.2618496785530175,7.2480130814450066,0.5026971386857234,14.299190052725304,1,3.264214307264344,3.645597156326308,5.464606773332608,6.126785590210016,0.5249005741950278,1.193772271002023,251.33930000447435,251.33930000447435,True,100.0,13.502109704641349,0.0
1,EgoAnchor w/o capture-time alignment,3.6957997999998042,49,13,36,30,30,12,1,16,1.8532540363153598,3.206088187614353,10.0,8.0,1.4266284198834023,10.621630004031575,10.621630004031575,4.937018275971136,5.44208143863425,0.18724690821149023,10.90613362207611,0.16657574943810843,3.026627312860645,1,2.1477637763332815,2.1504491333267657,2.4366272078135935,3.0564924433453795,0.3257783607135382,0.30434601511081916,251.33930000447435,251.33930000447435,True,100.0,13.502109704641349,0.0
2,Arrival-Hold,3.9442694000026677,52,13,39,35,35,13,0,18,3.0759532817930233,4.424908623023946,10.0,8.849817246047891,21.114158949611177,21.114158949611177,21.114158949611177,20.16058590973953,20.16058590973953,0.09360474195832391,27.585407682106194,0.18859038516217402,24.08686525850441,2,2.479475728206907,2.6365910133734793,4.1855403722328415,5.842100506056185,1.4386340858958362,2.9756428852693912,207.57729999604635,207.57729999604635,True,100.0,10.9375,0.0
2,Capture-Hold,3.9442694000026677,52,13,39,35,35,13,0,18,2.9571247559237475,4.412816781148449,10.0,8.825633562296899,20.97719785773211,20.97719785773211,20.97719785773211,20.244339842069987,20.244339842069987,0.07334772689485705,22.910915439431758,0.1952209818379734,24.471247111486704,2,2.337968089088049,2.415848639828434,4.157477501893443,5.810611802716293,1.184862035609177,2.927474949880794,207.57729999604635,207.57729999604635,True,100.0,10.9375,0.0
2,One-Euro Anchor,3.9442694000026677,52,13,39,35,35,13,0,18,2.6709841014787554,2.970692434310978,10.0,8.0,7.950437061995775,7.950437061995775,7.950437061995775,7.311044457388032,7.311044457388032,0.005084914941767008,9.83680360901557,0.04454398659633094,11.583432699425531,2,2.0753005227436234,2.1643022215227137,4.059987873962805,4.406244297515627,0.3730784916238779,0.7993482240435771,207.57729999604635,207.57729999604635,True,100.0,10.9375,0.0
2,EgoAnchor,3.9442694000026677,52,13,39,35,35,12,1,18,2.5448818470547825,5.141862810866367,10.0,10.283725621732733,2.5150531061038746,2.5150531061038746,2.5150531061038746,4.8734950581563945,4.922449692751762,0.0,2.6743173560874633,2.4148365394514667e-06,4.853169086402379,0,1.5630810061155742,1.5697339208017373,2.92034426271699,2.926000576991409,0.029406115350378476,0.07292912996121945,207.57729999604635,207.57729999604635,True,100.0,12.5,0.0
2,EgoAnchor w/o VCD,3.9442694000026677,52,13,39,35,35,13,0,18,2.5448776699812035,5.1418763512445995,10.0,10.283752702489199,32.27414782169024,35.937554101066254,35.937554101066254,34.94668076669985,34.94668076669985,0.428942777018442,37.89962004095957,0.44544293079221625,39.13474930102159,2,1.5630736128553484,1.5697265565529566,2.9203372714006037,2.9259941964099645,0.029406115350378476,0.07292800700995762,207.57729999604635,207.57729999604635,True,100.0,10.9375,0.0
2,EgoAnchor w/o temporal synthesis,3.9442694000026677,52,13,39,35,35,12,1,18,2.5655569234304583,4.590033209632204,10.0,9.180066419264408,2.448778837889554,2.497494902813667,2.500281552306652,4.2324531651639195,4.380144122770093,0.0,2.5287132700559365,2.9575586669421963e-06,3.998379761444606,0,1.5567488465322223,1.5633907895053911,2.8960252721063715,2.901874789133847,0.02777983191093466,0.07049035483845452,207.57729999604635,207.57729999604635,True,100.0,12.5,0.0
2,EgoAnchor w/o StaticLock,3.9442694000026677,52,13,39,35,35,12,1,18,2.7721541293394445,3.2171953902461636,10.0,8.0,4.269314915995437,4.753856053641803,4.753856053641803,4.225395047423454,4.54991178885956,0.20297343702335374,6.726700734711341,0.3311457071378032,5.115130883703233,1,2.2833877290326403,2.422503527417698,4.453723342700557,5.75988611639085,0.40372685118774376,1.0051027046689054,207.57729999604635,207.57729999604635,True,100.0,12.5,0.0
2,EgoAnchor w/o capture-time alignment,3.9442694000026677,52,13,39,35,35,12,1,18,2.1504491333267657,2.4366272078135935,10.0,8.0,2.1673523747734094,6.935800841985778,6.935800841985778,4.105071018312866,4.105071018312866,0.10266306005544745,6.274250021658054,0.09930733321887578,3.1133566950636284,0,1.4181749256554175,1.426409707805166,2.4974061732847552,2.5085175099392605,0.2155145364915684,0.26666347389262285,207.57729999604635,207.57729999604635,True,100.0,12.5,0.0
3,Arrival-Hold,3.0959266999998363,34,14,20,24,24,14,0,17,2.2286489009319004,3.5293117502213187,10.0,8.0,51.871120127383165,51.871120127383165,51.871120127383165,31.494733191079494,31.494733191079494,0.5990007579352469,56.76130264286238,1.1228371743669578,35.694832296081735,3,2.1542649233641873,2.1791328690176184,4.8912674575956165,5.932275170218921,1.212935240969486,4.987756901437229,167.06079999858048,167.06079999858048,True,100.0,13.23529411764706,0.0
3,Capture-Hold,3.0959266999998363,34,14,20,24,24,14,0,17,1.6723337382735706,3.5858557902311583,10.0,8.0,51.51156417441765,51.51156417441765,51.51156417441765,31.56905233421448,31.56905233421448,0.3879169288831006,52.21780869933938,1.1604926272575333,35.94060816757483,3,1.7550273270962786,1.8907445322742624,4.895759719126642,5.863707308447175,1.4047956246685762,4.957943927154783,167.06079999858048,167.06079999858048,True,100.0,13.23529411764706,0.0
3,One-Euro Anchor,3.0959266999998363,34,14,20,24,24,14,0,17,1.5219435959028194,3.702279609650487,10.0,8.0,21.486461338255992,21.486461338255992,21.486461338255992,13.099748104589786,13.099748104589786,0.10879997558910118,22.305605593872546,0.36935075703725767,17.408393018741762,2,1.6139399371441998,1.8545212956577866,4.221972375619017,4.362685340790062,0.36339857231732037,1.249318037511766,167.06079999858048,167.06079999858048,True,100.0,13.23529411764706,0.0
3,EgoAnchor,3.0959266999998363,34,14,20,24,24,12,2,17,1.5417639565462637,2.926000576991409,10.0,8.0,1.4732564050917956,1.8216604043864253,2.4919724312219356,4.690234281418383,4.73162350767338,0.003348555127321429,1.1292709840008284,0.012079192663580197,2.6159427383108262,0,1.8056721035986179,1.8209868244804535,4.627669016259545,4.678989569836352,0.0315956198141251,0.06799637652728077,167.06079999858048,167.06079999858048,True,100.0,18.627450980392158,0.0
