coverage_pct,vcd_p95_translation_mm,random_median_p95_translation_mm,random_p10_p95_translation_mm,random_p90_p95_translation_mm,oracle_p95_translation_mm,vcd_p95_rotation_deg
10.0,3.4006250135442677,8.605693145511587,6.553193104720079,16.663394413974608,1.0772642077794152,5.382640301938851
11.0,3.4821602887364067,8.417325536766235,6.521515291764211,17.210496052608384,1.0908728546700655,5.350129026476104
12.000000000000002,3.453040547596357,8.511783613832032,6.572527938550138,17.953889215917602,1.102551555041259,5.297632736956737
13.0,3.4180968582282976,8.710602915752675,6.68584655485897,17.446766046270607,1.131015053561329,5.2346371895334975
14.000000000000002,3.383153168860238,8.55491108475401,6.59887781964613,13.685441047201,1.1597583788877832,5.1716416421102585
15.000000000000002,3.2616729430547724,8.581764931391998,6.640289283858256,13.705500580415526,1.1736137378282507,5.106898844131919
16.0,3.1604394215502167,8.681186067372561,6.735351214472124,15.81990473181124,1.1877375790217972,5.052946512483302
17.0,3.0389591957447455,8.67772467533658,6.873564992964328,14.552666993876308,1.2086127401885345,4.9882037145049605
18.0,3.3224130559575022,8.70148782008707,7.239737647554299,13.55000869242784,1.2333818917977828,4.930080979020653
19.0,3.4472165993683475,8.79910285134891,7.264748465094151,14.09745397786713,1.2514326666560045,4.878578306030377
20.0,3.4180968582282976,8.838829232591536,7.34859984123927,14.742866771909437,1.2749531565051886,4.835659411871814
21.000000000000004,3.383153168860238,8.595899497371486,7.391233840214829,13.57622518027422,1.2975158088875884,4.7841567388815385
22.0,3.3555935328915787,8.728567495150935,7.4041099810137725,13.162215743025163,1.3110000709868517,4.747783300334315
23.0,3.328033896922921,8.803419214891969,7.522981410258926,13.054579544861202,1.3253326705327346,4.711409861787094
24.000000000000004,3.4006250135442686,8.834816245888147,7.494518225230799,13.409011322129144,1.347977903710992,4.681098662997743
25.0,3.3701493455736924,8.874869115724966,7.541964221965368,12.94614204044717,1.367259447168684,4.649923159938399
26.0,3.344141699000602,8.884752924811666,7.563086252053564,12.839256882118585,1.3855234650789536,4.7295965810607035
27.0,3.3224686601896942,8.884207283291298,7.661255138008644,13.093416764965035,1.3966620209258604,4.699285382271352
28.000000000000004,3.296461013616606,8.785425208484988,7.686167353728013,13.40144859463169,1.4358253961885192,4.662911943724132
29.000000000000004,3.489370148510302,8.91312958902364,7.771393059956228,13.032227022390519,1.4512606898880362,4.747783300334315
30.000000000000004,3.4791081636001677,8.917134641560077,7.771429541235609,12.776602431177107,1.4677761702969554,4.711409861787096
31.0,3.503532365438484,8.877666964402836,7.8788674053132395,13.021043082988072,1.4920874592050557,4.681098662997743
32.0,3.521733448189366,8.868306934065082,7.92204254326996,12.836432296867486,1.5236883395051135,4.649923159938399
33.0,3.513932984153273,8.884752924811666,7.903538912717079,12.601471493441714,1.547311734532747,4.7295965810607035
34.0,3.5600231728184895,8.867743604156917,7.947502570130124,12.407989507502375,1.5867638524868655,4.693223142513483
35.0,3.6631916506517213,8.785425208484988,7.931294358546401,12.170710020494496,1.6010814467652794,4.662911943724132
36.0,3.7783665518679452,8.810342461680891,7.961892412218294,12.20415313051158,1.6283357500188655,4.6369343761526665
37.0,3.9106257654838346,8.893094750027306,7.985197241797985,12.42417143479484,1.6447358696111865,4.610956808581201
38.0,3.871990334021743,8.846919712430214,8.053821318978036,12.23411130281805,1.6578081587477578,4.584979241009738
39.0,3.852308948967729,8.902516518417784,8.03658617017958,12.115548680430367,1.6649355834337582,4.597039579821494
40.0,3.929943481214882,8.884752924811666,8.064864073193172,12.044560566649718,1.6958493782687525,4.589726805232466
41.0,3.8913080497527903,8.867743604156917,8.090455142520758,12.211502779222188,1.730826027909184,4.58241403064344
42.00000000000001,3.9814573898310077,8.940074623906545,8.074100696674918,12.057608450327638,1.7561711050946658,4.599477171351169
