method,n_events,occlusion_translation_p95_median_mm,occlusion_translation_p95_q1_mm,occlusion_translation_p95_q3_mm,occlusion_rotation_p95_median_deg,occlusion_peak_translation_median_mm,harmful_output_jumps_total,harmful_output_jumps_median_per_event,first_fresh_display_median_ms,durable_recovery_median_ms,durable_recovery_p95_ms,durable_recovery_max_ms,recovery_success_pct,post_visible_translation_p95_median_mm,display_coverage_pct
Arrival-Hold,7,35.30324051221481,18.186819164452707,44.88448856040269,24.402464551861545,35.30324051221481,19,3.0,207.57729999604635,187.3190499973134,304.17560000023514,321.78769999882206,85.71428571428571,2.479475728206907,100.0
Capture-Hold,7,34.095464413685136,17.331319452466555,43.583369928339195,24.567087728476704,34.095464413685136,18,3.0,207.57729999604635,207.57729999604635,4601.892759998505,6436.223499998377,100.0,2.196550349979897,100.0
One-Euro Anchor,7,12.99903137241404,6.902809607427083,19.62804051847516,9.052214734184139,12.99903137241404,14,2.0,207.57729999604635,207.57729999604635,4489.892759998528,6276.223499998408,100.0,1.7894512670810208,100.0
EgoAnchor,7,1.8216604043864253,1.5981123276336948,2.272240717267512,4.690234281418383,2.3339033581552915,0,0.0,207.57729999604635,207.57729999604635,4601.892759998505,6436.223499998377,100.0,1.8056721035986179,100.0
