variant,active_uptime_pct,unlock_episode_count,total_unlocked_s,max_unlock_duration_s
EgoAnchor,97.57395190466056,1,1.8463694999954896,1.8463694999954896
EgoAnchor w/o capture-time alignment,90.1681208767823,4,7.305163199998788,2.87539470000047
EgoAnchor w/o temporal synthesis,97.57395190466056,1,1.8463694999954896,1.8463694999954896
EgoAnchor w/o VCD,97.57395190466056,1,1.8463694999954896,1.8463694999954896
