phase_index,phase,short_label,start_s,end_s,duration_s,head_translation_path_mm,head_translation_net_mm,head_rotation_net_deg,head_linear_speed_median_m_s,head_linear_speed_p95_m_s,head_angular_speed_median_deg_s,head_angular_speed_p95_deg_s
0,Baseline / low head motion,Baseline,0.0,15.96153790000244,15.96153790000244,125.77876921290293,18.136870328684566,8.120771814782998,0.0070867615889118,0.017061404498825223,3.1585258812830133,8.353790999093397
1,Head rotation A,Rotation A,15.96153790000244,31.7782034999982,15.816665599995758,415.3448058771657,19.51167321704747,6.308665210419742,0.025917553357653,0.06132271634487787,13.296446457035396,34.08070966726421
2,Head rotation B,Rotation B,31.7782034999982,49.248689200001536,17.470485700003337,419.40012219790617,2.5523723617854515,3.017944487710275,0.02456360535520585,0.056459442725209,11.62146689956998,27.087559309227007
3,Head translation A,Translation A,49.248689200001536,69.13450770000054,19.885818499999004,1240.059536686986,14.508206092562737,5.7352400035792455,0.0670751822018825,0.1323530776316344,3.946183786918502,8.310730465093004
4,Head translation B,Translation B,69.13450770000054,89.3148753999991,20.180367699998556,1147.1014064658639,28.52221409489732,3.705245012047432,0.0588100919764537,0.1289810749092709,4.364836982499911,8.638357394314122
