method,n_phases,translation_median_mm,translation_p95_mm,rotation_median_deg,rotation_p95_deg,hp_translation_rms_mm,hp_rotation_rms_deg,translation_jump_p99_mm,rotation_jump_p99_deg,update_rate_hz,hold_ratio_pct,static_lock_uptime_pct,display_coverage_pct,observation_lag_median_ms,output_target_lag_median_ms
Arrival-Hold,4,8.998965164988157,22.237085128882228,2.812546802414902,4.846186704548437,4.466345186542705,1.0828878867415543,10.606891308508459,2.290872096878277,9.68148680004537,84.97655991849322,0.0,100.0,216.59037499921396,45.88217499986058
Capture-Hold,4,4.301070616353624,8.57343647808917,2.7248689455599413,4.157186649644735,2.5283201831359885,1.0404284132243182,6.972827288068314,2.1891566867494023,9.68148680004537,84.97655991849322,0.0,100.0,216.59037499921396,216.59037499921396
One-Euro Anchor,4,4.049152482528013,8.272756716217224,2.6989314759832475,3.6996188543229396,1.00988337061886,0.4460539021045652,2.209299455581285,0.8867436864328104,9.68148680004537,84.97655991849322,0.0,100.0,216.59037499921396,216.59037499921396
EgoAnchor,4,3.010919247059156,3.6791361183987994,2.5955971109577876,2.8552056332175226,0.03889474925495164,0.016990011349787747,0.15290710776006478,0.050096869048014345,9.651055893656425,84.97655991849322,97.57395190466056,100.0,216.59037499921396,276.5904841471638
