variant,active_uptime_pct,unlock_episode_count,total_unlocked_s,max_unlock_duration_s,episode_start_s,episode_end_s
EgoAnchor,,1,1.8463694999954896,1.8463694999954896,27.738456300001417,29.584825799996906
EgoAnchor w/o capture-time alignment,,1,1.5416680999987875,1.5416680999987875,17.669174499998917,19.210842599997704
EgoAnchor w/o capture-time alignment,,2,2.87539470000047,2.87539470000047,20.543632399996568,23.419027099997038
EgoAnchor w/o capture-time alignment,,3,1.4494543999971938,1.4494543999971938,41.11284080000041,42.56229519999761
EgoAnchor w/o capture-time alignment,,4,1.4386460000023362,1.4386460000023362,43.9993730999995,45.43801910000184
EgoAnchor w/o temporal synthesis,,1,1.8463694999954896,1.8463694999954896,27.738456300001417,29.584825799996906
EgoAnchor w/o VCD,,1,1.8463694999954896,1.8463694999954896,27.738456300001417,29.584825799996906
