experiment_id,scenario_id,condition_id,variant_label,metric_name,trial_count,median,iqr,p95
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,smoothing_delay_p50_ms,4,216.33775000373134,1.4695124973513884,221.20742499882908
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,smoothing_delay_p95_ms,4,271.8672599996353,12.100956253107142,278.22364024921626
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,visual_perception_hz,4,9.59061017677408,0.04511996688853692,9.630780745491538
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,render_hz,4,69.81352938956937,0.47310407190154535,70.81834488881645
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,reference_coverage,4,1.0,0.0,1.0
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,display_coverage,4,1.0,0.0,1.0
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,output_coverage,4,1.0,0.0,1.0
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,translation_error_mm_median,4,6.803124090073059,3.308344489175159,10.191359724941206
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,translation_error_mm_iqr,4,5.156737007253217,5.886991532222933,8.751119379290037
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,translation_error_mm_p95,4,14.865359567511108,11.805740470349473,22.560018074133485
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,rotation_error_deg_median,4,9.535647849486908,5.523493622217295,12.978264267700434
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,rotation_error_deg_iqr,4,9.268319684410748,4.773758817726014,11.795447043162014
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,rotation_error_deg_p95,4,20.296669138763107,8.599963024751915,25.88329840417191
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,candidate_arrival_p50_ms,4,166.66130000157864,0.10125000153493602,166.9639100011409
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,candidate_arrival_p95_ms,4,197.39928000162763,7.156062501053356,206.97677350242884
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,candidate_processing_p50_ms,4,75.83224999997765,0.3189249993301928,76.2238100023009
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,candidate_processing_p95_ms,4,87.46630250178276,2.247701248712829,88.62545499943197
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,observation_age_p50_ms,4,216.33845000178553,1.4695999989271513,221.2079699987953
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,observation_age_p95_ms,4,271.86795749767043,12.100872504288418,278.224254752804
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,smoothing_delay_p50_ms,4,216.33845000178553,1.4695999989271513,221.2079699987953
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,smoothing_delay_p95_ms,4,271.86795749767043,12.100872504288418,278.224254752804
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,visual_perception_hz,4,9.59061017677408,0.04511996688853692,9.630780745491538
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,render_hz,4,69.81352938956937,0.47310407190154535,70.81834488881645
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,reference_coverage,4,1.0,0.0,1.0
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,display_coverage,4,1.0,0.0,1.0
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,output_coverage,4,1.0,0.0,1.0
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,translation_error_mm_median,4,7.024098080019118,3.022398319317805,9.471072590121038
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,translation_error_mm_iqr,4,5.149287009936099,5.179935014495653,8.08484196598861
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,translation_error_mm_p95,4,14.403674902041345,9.986283050234793,23.359793443594825
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,rotation_error_deg_median,4,8.492553026862385,4.903008571916889,12.022005555417609
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,rotation_error_deg_iqr,4,9.038131047127212,3.6486252102302457,10.628863361044395
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,rotation_error_deg_p95,4,20.927348979492105,4.82894916691161,22.719054595905828
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,candidate_arrival_p50_ms,4,166.51694999745814,0.09247499838238582,166.8142450016603
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,candidate_arrival_p95_ms,4,197.21008499946038,7.088412500979729,206.82204850012567
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,candidate_processing_p50_ms,4,75.83224999997765,0.3189249993301928,76.2238100023009
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,candidate_processing_p95_ms,4,87.46630250178276,2.247701248712829,88.62545499943197
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,observation_age_p50_ms,4,216.32660000250326,1.4692249978907057,221.19671749842382
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,observation_age_p95_ms,4,271.85644749934,12.100990005819767,278.21127925368273
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,smoothing_delay_p50_ms,4,282.86899626255035,4.036523401737213,288.7002497911453
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,smoothing_delay_p95_ms,4,305.80021515488625,25.909453257918358,323.4992776811123
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,visual_perception_hz,4,9.59061017677408,0.04511996688853692,9.630780745491538
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,render_hz,4,69.81352938956937,0.47310407190154535,70.81834488881645
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,reference_coverage,19,1.0,0.0,1.0
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,display_coverage,19,1.0,0.0,1.0
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,output_coverage,19,1.0,0.0,1.0
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,translation_error_mm_median,19,43.76052490137072,8.494138367102494,58.623597832745226
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,translation_error_mm_iqr,19,24.745533336671155,10.343458043787969,37.162055761531235
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,translation_error_mm_p95,19,73.96147369220625,15.426193360004348,102.03628731209778
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,rotation_error_deg_median,19,3.7896526947772995,1.9201940573012317,6.492394330415077
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,rotation_error_deg_iqr,19,1.795123752661648,1.3800894085433724,7.439485539562019
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,rotation_error_deg_p95,19,6.6287000569828685,2.900005554814424,63.351705327765686
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,candidate_arrival_p50_ms,19,166.91815000376664,0.5062249983893707,175.52482500032056
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,candidate_arrival_p95_ms,19,194.25910000427393,15.618922504108866,209.8777314998733
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,candidate_processing_p50_ms,19,75.7538000009954,2.108300001360476,77.20078999996186
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,candidate_processing_p95_ms,19,84.59570000134408,3.1454049977473915,90.82659899942573
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,observation_age_p50_ms,19,48.811600005137734,4.591949997120537,49.447375002273475
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,observation_age_p95_ms,19,98.25520000013057,1.1817025042546305,104.90691800154309
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,smoothing_delay_p50_ms,19,48.811600005137734,4.591949997120537,49.447375002273475
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,smoothing_delay_p95_ms,19,98.25520000013057,1.1817025042546305,104.90691800154309
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,visual_perception_hz,19,9.554302224107369,0.2509694016622994,10.096602686404609
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,render_hz,19,68.92897874886533,2.2016349438866882,70.4951399749956
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Capture-Hold,reference_coverage,19,1.0,0.0,1.0
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Capture-Hold,display_coverage,19,1.0,0.0,1.0
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Capture-Hold,output_coverage,19,1.0,0.0,1.0
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Capture-Hold,translation_error_mm_median,19,62.93127623660993,16.251550027378258,76.22685165282705
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Capture-Hold,translation_error_mm_iqr,19,34.19300315865725,12.722311787882003,48.989603665901505
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Capture-Hold,translation_error_mm_p95,19,98.89677333459909,26.40994187418363,119.02193610456966
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Capture-Hold,rotation_error_deg_median,19,4.447819796012835,2.7063079813254376,8.31627325494276
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Capture-Hold,rotation_error_deg_iqr,19,2.196882080869491,1.960299728412374,8.885533350031547
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Capture-Hold,rotation_error_deg_p95,19,8.32737644047909,4.239222219218652,63.26324585561954
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Capture-Hold,candidate_arrival_p50_ms,19,166.94949999873643,0.5244000039965613,175.56243500184792
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Capture-Hold,candidate_arrival_p95_ms,19,194.2992000040249,15.628225002546912,209.9107510043177
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Capture-Hold,candidate_processing_p50_ms,19,75.7538000009954,2.108300001360476,77.20078999996186
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Capture-Hold,candidate_processing_p95_ms,19,84.59570000134408,3.1454049977473915,90.82659899942573
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Capture-Hold,observation_age_p50_ms,19,216.9720000019879,5.1784500010398915,223.3015499979956
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Capture-Hold,observation_age_p95_ms,19,265.9654999981285,11.874020001960162,277.9327900003409
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Capture-Hold,smoothing_delay_p50_ms,19,216.9720000019879,5.1784500010398915,223.3015499979956
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Capture-Hold,smoothing_delay_p95_ms,19,265.9654999981285,11.874020001960162,277.9327900003409
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Capture-Hold,visual_perception_hz,19,9.554302224107369,0.2509694016622994,10.096602686404609
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Capture-Hold,render_hz,19,68.92897874886533,2.2016349438866882,70.4951399749956
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,One-Euro Anchor,reference_coverage,19,1.0,0.0,1.0
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,One-Euro Anchor,display_coverage,19,1.0,0.0,1.0
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,One-Euro Anchor,output_coverage,19,1.0,0.0,1.0
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,One-Euro Anchor,translation_error_mm_median,19,95.04721540021572,23.78017400390263,115.8187203238905
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,One-Euro Anchor,translation_error_mm_iqr,19,51.45657517159577,25.448673304077438,71.07523974546336
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,One-Euro Anchor,translation_error_mm_p95,19,139.15297510308525,36.6837492406286,168.54997181153882
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,One-Euro Anchor,rotation_error_deg_median,19,6.002710475427743,4.112559788897368,10.577558990077426
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,One-Euro Anchor,rotation_error_deg_iqr,19,3.2142911743223266,3.2788298102320734,11.354981840223928
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,One-Euro Anchor,rotation_error_deg_p95,19,10.329051255686567,6.724291622482161,55.615396805581476
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,One-Euro Anchor,candidate_arrival_p50_ms,19,166.9809000013629,0.5581000023084925,175.59865500297747
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,One-Euro Anchor,candidate_arrival_p95_ms,19,194.33389999903738,15.632080005707337,209.94095550177005
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,One-Euro Anchor,candidate_processing_p50_ms,19,75.7538000009954,2.108300001360476,77.20078999996186
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,One-Euro Anchor,candidate_processing_p95_ms,19,84.59570000134408,3.1454049977473915,90.82659899942573
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,One-Euro Anchor,observation_age_p50_ms,19,216.9727000000421,5.178400004297146,223.30236000343575
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,One-Euro Anchor,observation_age_p95_ms,19,265.9663599959458,11.874047502715257,277.93358000562876
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,One-Euro Anchor,smoothing_delay_p50_ms,19,216.9727000000421,5.178400004297146,223.30236000343575
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,One-Euro Anchor,smoothing_delay_p95_ms,19,265.9663599959458,11.874047502715257,277.93358000562876
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,One-Euro Anchor,visual_perception_hz,19,9.554302224107369,0.2509694016622994,10.096602686404609
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,One-Euro Anchor,render_hz,19,68.92897874886533,2.2016349438866882,70.4951399749956
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,EgoAnchor,reference_coverage,19,1.0,0.0,1.0
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,EgoAnchor,display_coverage,19,1.0,0.0,1.0
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,EgoAnchor,output_coverage,19,1.0,0.0,1.0
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,EgoAnchor,translation_error_mm_median,19,82.68013817064585,19.024084396943536,97.58103648442714
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,EgoAnchor,translation_error_mm_iqr,19,42.75612258742636,20.070041865772172,64.14551072551487
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,EgoAnchor,translation_error_mm_p95,19,111.8153686954683,22.550003382243816,137.9601507819749
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,EgoAnchor,rotation_error_deg_median,19,5.948972204559309,4.079925947611453,10.157990416925244
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,EgoAnchor,rotation_error_deg_iqr,19,2.2419809089245124,2.9340921511088256,11.766072680073586
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,EgoAnchor,rotation_error_deg_p95,19,9.378841631724423,5.056646692879964,59.6273200665656
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,EgoAnchor,candidate_arrival_p50_ms,19,166.83464999732678,0.49687499995343387,175.43262500075798
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,EgoAnchor,candidate_arrival_p95_ms,19,194.1755000007106,15.609620003488033,209.78503750287925
