session_id,experiment_id,scenario_id,trial_id,event_id,condition_id,variant_id,variant_label,render_tick_count,reference_coverage,display_coverage,output_coverage,translation_error_mm_median,translation_error_mm_iqr,translation_error_mm_p95,rotation_error_deg_median,rotation_error_deg_iqr,rotation_error_deg_p95,candidate_arrival_p50_ms,candidate_arrival_p95_ms,candidate_processing_p50_ms,candidate_processing_p95_ms,observation_age_p50_ms,observation_age_p95_ms,smoothing_delay_p50_ms,smoothing_delay_p95_ms,visual_perception_hz,render_hz
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,Arrival-Hold,1035,1.0,1.0,1.0,5.892079107736975,2.4984180535008207,9.080320344668067,3.2819020739309694,0.921667123871722,4.2477062384184885,166.84559999703197,195.22149999829708,75.23009999841452,90.15942000076176,47.75399999925867,98.30219999712425,47.75399999925867,98.30219999712425,9.662200445880814,64.91769440877175
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Capture-Hold,Capture-Hold,1035,1.0,1.0,1.0,5.040691422478555,2.0422853903554072,7.663696751500191,3.3502378715181207,0.8826975339878973,4.1715172943207985,166.89449999830686,195.2625399993849,75.23009999841452,90.15942000076176,216.58600000228034,277.6834800024517,216.58600000228034,277.6834800024517,9.662200445880814,64.91769440877175
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,EgoAnchor,EgoAnchor,1035,1.0,1.0,1.0,5.982933756350954,2.2023687552910634,7.155202365780894,3.4086561851193444,0.29151944836878485,3.680874778400833,166.7368999987957,195.13937999872724,75.23009999841452,90.15942000076176,216.57620000041788,277.67591000083485,,,9.662200445880814,64.91769440877175
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,One-Euro Anchor,One-Euro Anchor,1035,1.0,1.0,1.0,4.954260519036424,1.8205986751293697,7.78227899533645,3.327597264178099,0.6347907371169139,3.748835188186208,166.9395999997505,195.2984599978663,75.23009999841452,90.15942000076176,216.58659999957308,277.6841200022318,216.58659999957308,277.6841200022318,9.662200445880814,64.91769440877175
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,Arrival-Hold,Arrival-Hold,988,1.0,1.0,1.0,11.956629905299106,14.334379627869684,33.59964860583734,3.1718854842668307,2.3902568905497277,7.828571963432489,166.71949999727076,208.5782800000743,74.98919999971986,86.4023799970746,42.7104500013229,99.12914499582257,42.7104500013229,99.12914499582257,9.663731208708738,62.43472068828459
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,Capture-Hold,Capture-Hold,988,1.0,1.0,1.0,5.182864398810529,4.179805706113077,10.052475153085565,3.0696817349666548,2.104027701250179,6.521281320762965,166.7511999985436,208.60951999929966,74.98919999971986,86.4023799970746,216.6801499952271,278.1661150031141,216.6801499952271,278.1661150031141,9.663731208708738,62.43472068828459
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,EgoAnchor,EgoAnchor,988,1.0,1.0,1.0,3.6882125673198463,0.3770583064071391,6.460055436376794,2.8870613702715966,0.29263750974056313,3.5033518798188186,166.63929999776883,208.485220001603,74.98919999971986,86.4023799970746,216.67094999793335,278.15660500091326,276.5538841485977,283.64588767290115,9.663731208708738,62.43472068828459
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,One-Euro Anchor,One-Euro Anchor,988,1.0,1.0,1.0,4.770834984740274,3.6858818418656107,9.121869916051915,2.910812767291267,1.9922333227203803,5.417854836304623,166.7779999988852,208.63949999766191,74.98919999971986,86.4023799970746,216.68085000055726,278.16668000014033,216.68085000055726,278.16668000014033,9.663731208708738,62.43472068828459
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,Arrival-Hold,Arrival-Hold,1120,1.0,1.0,1.0,9.483922399506836,10.48307631550654,27.76968600563287,2.975547712121113,1.415221740982593,5.559970041191362,167.57199999847217,223.1355599971721,74.96040000021458,83.46844000145794,43.07234999942011,97.26934000391338,43.07234999942011,97.26934000391338,9.67879228260262,64.12494413566829
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,Capture-Hold,Capture-Hold,1120,1.0,1.0,1.0,4.364908219233289,2.5675407943416504,6.936400010806689,2.7627688298573356,0.9618315225599297,4.2420323926448305,167.608099996869,223.1714799971087,74.96040000021458,83.46844000145794,223.01964999860502,298.6417550018814,223.01964999860502,298.6417550018814,9.67879228260262,64.12494413566829
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,EgoAnchor,EgoAnchor,1120,1.0,1.0,1.0,2.332678543957942,0.2500955858208713,2.7938745440506185,2.629617381417243,0.13849060391329004,2.974718974765411,167.484700003115,223.05304000037722,74.96040000021458,83.46844000145794,223.01119999974617,298.6335049972695,,,9.67879228260262,64.12494413566829
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,One-Euro Anchor,One-Euro Anchor,1120,1.0,1.0,1.0,3.8950332640662806,2.2191682096033927,6.307123859343195,2.7979467179800177,0.6958494588233055,3.7613385187313497,167.64010000042617,223.19995999714592,74.96040000021458,83.46844000145794,223.02030000355444,298.6423599992122,223.02030000355444,298.6423599992122,9.67879228260262,64.12494413566829
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_003,exp1_system_characterization/static_head_motion,Arrival-Hold,Arrival-Hold,1294,1.0,1.0,1.0,8.514007930469441,6.745209365640122,16.539650495993637,2.64954589270765,1.0136025658464427,4.118632448821765,166.61260000546463,207.96770000451943,74.38229999691248,85.92879999950527,48.65530000097351,97.68918999652668,48.65530000097351,97.68918999652668,9.720626756850736,65.06950963558134
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_003,exp1_system_characterization/static_head_motion,Capture-Hold,Capture-Hold,1294,1.0,1.0,1.0,4.049691472151055,3.4226838816220546,8.821429824936253,2.6869690612614914,0.9943451882504832,4.072340906643936,166.64310000487603,207.99928000196815,74.38229999691248,85.92879999950527,216.409950000525,277.2918849990674,216.409950000525,277.2918849990674,9.720626756850736,65.06950963558134
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_003,exp1_system_characterization/static_head_motion,EgoAnchor,EgoAnchor,1294,1.0,1.0,1.0,2.8014793066304957,0.5240952851733471,3.4967309517041376,2.5615768404966395,0.09224654543638833,2.7356922916684496,166.5221999937785,207.88351999945007,74.38229999691248,85.92879999950527,216.40069999921252,277.2833599970909,,,9.720626756850736,65.06950963558134
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_003,exp1_system_characterization/static_head_motion,One-Euro Anchor,One-Euro Anchor,1294,1.0,1.0,1.0,3.66666504961224,3.440384376215973,8.543970550772336,2.5999162339859168,0.6619283437299996,3.543936270433106,166.67379999853438,208.02844000136247,74.38229999691248,85.92879999950527,216.4136999999755,277.2925149965886,216.4136999999755,277.2925149965886,9.720626756850736,65.06950963558134
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_004,exp1_system_characterization/static_head_motion,Arrival-Hold,Arrival-Hold,1297,1.0,1.0,1.0,7.7221030523758785,7.015567396918731,16.70448425213164,2.5893334781519655,1.1788281672651248,4.132403367904898,166.71280000446131,199.87717499898275,74.84614999778569,85.02461499962955,48.63479999767151,98.45968000154244,48.63479999767151,98.45968000154244,9.607169317747232,64.24865721545093
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_004,exp1_system_characterization/static_head_motion,Capture-Hold,Capture-Hold,1297,1.0,1.0,1.0,4.237233013473959,3.4613955273009056,8.325443131242098,2.482803023219871,1.1695137378225569,3.8558937715969424,166.7474999994738,199.91146500033204,74.84614999778569,85.02461499962955,216.43870000116294,277.69528000062564,216.43870000116294,277.69528000062564,9.607169317747232,64.24865721545093
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_004,exp1_system_characterization/static_head_motion,EgoAnchor,EgoAnchor,1297,1.0,1.0,1.0,3.2203591874877917,0.3323749368668598,3.8615412850934283,2.331507104859148,0.28215477356593377,2.5451917170143643,166.62970000106725,199.7861200012266,74.84614999778569,85.02461499962955,216.42879999853903,277.6869600013015,,,9.607169317747232,64.24865721545093
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_004,exp1_system_characterization/static_head_motion,One-Euro Anchor,One-Euro Anchor,1297,1.0,1.0,1.0,4.2032717009897365,2.715321509284476,8.001542881662074,2.435161620962001,0.8639380403492796,3.6378991899137416,166.77550000167685,199.95160999606009,74.84614999778569,85.02461499962955,216.43949999997858,277.6958799979184,216.43949999997858,277.6958799979184,9.607169317747232,64.24865721545093
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,,exp1_system_characterization/start_stop_6dof,Arrival-Hold,Arrival-Hold,577,1.0,1.0,1.0,4.168903077939556,1.0301371964745059,5.253636169638634,2.427065998751362,0.7142702070536497,4.099834308345123,167.0254999989993,207.71862000474357,74.26440000161529,82.47107999958098,42.692800001532305,97.3174800004926,42.692800001532305,97.3174800004926,9.900903013009883,64.6132979372178
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,,exp1_system_characterization/start_stop_6dof,Capture-Hold,Capture-Hold,577,1.0,1.0,1.0,4.105379780840208,1.0108702033880803,5.005530662829622,2.4541791168451366,0.7132356532956639,4.1132255428039,167.05729999375762,207.75722000253154,74.26440000161529,82.47107999958098,216.93609999783803,276.19825999863673,216.93609999783803,276.19825999863673,9.900903013009883,64.6132979372178
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,,exp1_system_characterization/start_stop_6dof,EgoAnchor,EgoAnchor,577,1.0,1.0,1.0,1.9585434900540368,1.6894292749765312,3.6186594795464138,3.2753232293533565,1.3163848793611042,4.2816576910179,166.91789999458706,207.63582000217866,74.26440000161529,82.47107999958098,216.92450000409735,276.18975999939715,,,9.900903013009883,64.6132979372178
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,,exp1_system_characterization/start_stop_6dof,One-Euro Anchor,One-Euro Anchor,577,1.0,1.0,1.0,3.9700370178387225,0.7330685514143607,4.70221739407557,2.4333126581428197,0.46270375236199923,3.9361092249636833,167.08319999452215,207.7877800045826,74.26440000161529,82.47107999958098,216.937199998938,276.1989799968432,216.937199998938,276.1989799968432,9.900903013009883,64.6132979372178
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_001,exp1_system_characterization/start_stop_6dof,Arrival-Hold,Arrival-Hold,1065,1.0,1.0,1.0,7.851598641318041,8.515719519136656,41.2374924963758,2.832601816610294,1.1059580675276814,4.652342300031057,166.9019000037224,209.27744000364328,73.75470000132918,85.33308000043034,48.9573000013479,98.76843999954872,48.9573000013479,98.76843999954872,9.543186857094241,66.62352417777322
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_001,exp1_system_characterization/start_stop_6dof,Capture-Hold,Capture-Hold,1065,1.0,1.0,1.0,7.777512868666692,10.71828514282121,48.71032588289601,2.953902534033176,1.1819286658551142,5.135878870197312,166.9365000052494,209.31216000317363,73.75470000132918,85.33308000043034,222.5334999966435,296.9160799984817,222.5334999966435,296.9160799984817,9.543186857094241,66.62352417777322
