session_id,experiment_id,scenario_id,trial_id,event_id,condition_id,variant_id,variant_label,candidate_count,has_pose_count,vcd_score_count,vcd_score_min,vcd_score_p50,vcd_score_p95,visibility_score_count,visibility_score_min,visibility_score_p50,visibility_score_p95,geometry_core_score_count,geometry_core_score_min,geometry_core_score_p50,geometry_core_score_p95,color_projection_score_count,color_projection_score_min,color_projection_score_p50,color_projection_score_p95,depth_alignment_score_count,depth_alignment_score_min,depth_alignment_score_p50,depth_alignment_score_p95,depth_abs_score_count,depth_abs_score_min,depth_abs_score_p50,depth_abs_score_p95,depth_struct_score_count,depth_struct_score_min,depth_struct_score_p50,depth_struct_score_p95,depth_alpha_count,depth_alpha_min,depth_alpha_p50,depth_alpha_p95,render_quality_mask_iou_count,render_quality_mask_iou_min,render_quality_mask_iou_p50,render_quality_mask_iou_p95,render_quality_area_ratio_score_count,render_quality_area_ratio_score_min,render_quality_area_ratio_score_p50,render_quality_area_ratio_score_p95,render_quality_render_visible_ratio_count,render_quality_render_visible_ratio_min,render_quality_render_visible_ratio_p50,render_quality_render_visible_ratio_p95,render_quality_observed_visible_ratio_count,render_quality_observed_visible_ratio_min,render_quality_observed_visible_ratio_p50,render_quality_observed_visible_ratio_p95,render_quality_render_area_px_count,render_quality_render_area_px_min,render_quality_render_area_px_p50,render_quality_render_area_px_p95,render_quality_depth_inlier_count,render_quality_depth_inlier_min,render_quality_depth_inlier_p50,render_quality_depth_inlier_p95,render_quality_depth_alignment_count,render_quality_depth_alignment_min,render_quality_depth_alignment_p50,render_quality_depth_alignment_p95,render_quality_depth_absolute_count,render_quality_depth_absolute_min,render_quality_depth_absolute_p50,render_quality_depth_absolute_p95,render_quality_depth_structural_count,render_quality_depth_structural_min,render_quality_depth_structural_p50,render_quality_depth_structural_p95,render_quality_depth_alpha_count,render_quality_depth_alpha_min,render_quality_depth_alpha_p50,render_quality_depth_alpha_p95,render_quality_depth_residual_m_count,render_quality_depth_residual_m_min,render_quality_depth_residual_m_p50,render_quality_depth_residual_m_p95,render_quality_ms_count,render_quality_ms_min,render_quality_ms_p50,render_quality_ms_p95,render_quality_evaluated_count,render_quality_valid_count
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,Arrival-Hold,155,155,155,0.8113540410995483,0.9116385579109192,0.9306263864040375,155,0.9890219560878244,0.991869918699187,0.9938475811499597,155,0.8186598667689198,0.9194976270092913,0.9386887289967156,155,0.9405664930097187,0.9507347166075992,0.9596613295197752,155,0.7905443219963564,0.9116104073187622,0.9353517740119468,155,0.7905443219963564,0.9116104073187622,0.9353517740119468,155,0.0,0.0,0.0,155,0.0,0.0,0.0,155,0.8026056060007896,0.8162863886703383,0.8266296651453356,155,1.0,1.0,1.0,155,0.9890219560878244,0.991869918699187,0.9938475811499597,155,0.8080286168521462,0.8217620787657328,0.8335814722911498,155,1995.0,2073.0,2120.3,155,0.8109826589595376,0.9509641873278237,0.9804268687255756,155,0.7905443219963564,0.9116104073187622,0.9353517740119468,155,0.7905443219963564,0.9116104073187622,0.9353517740119468,155,0.0,0.0,0.0,155,0.0,0.0,0.0,155,0.0016880333423614502,0.0025090277194976807,0.0032234668731689455,155,3.2691999986127485,3.6168999977235217,4.245999998602201,155,155
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Capture-Hold,Capture-Hold,155,155,155,0.8113540410995483,0.9116385579109192,0.9306263864040375,155,0.9890219560878244,0.991869918699187,0.9938475811499597,155,0.8186598667689198,0.9194976270092913,0.9386887289967156,155,0.9405664930097187,0.9507347166075992,0.9596613295197752,155,0.7905443219963564,0.9116104073187622,0.9353517740119468,155,0.7905443219963564,0.9116104073187622,0.9353517740119468,155,0.0,0.0,0.0,155,0.0,0.0,0.0,155,0.8026056060007896,0.8162863886703383,0.8266296651453356,155,1.0,1.0,1.0,155,0.9890219560878244,0.991869918699187,0.9938475811499597,155,0.8080286168521462,0.8217620787657328,0.8335814722911498,155,1995.0,2073.0,2120.3,155,0.8109826589595376,0.9509641873278237,0.9804268687255756,155,0.7905443219963564,0.9116104073187622,0.9353517740119468,155,0.7905443219963564,0.9116104073187622,0.9353517740119468,155,0.0,0.0,0.0,155,0.0,0.0,0.0,155,0.0016880333423614502,0.0025090277194976807,0.0032234668731689455,155,3.2691999986127485,3.6168999977235217,4.245999998602201,155,155
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,EgoAnchor,EgoAnchor,155,155,155,0.8113540410995483,0.9116385579109192,0.9306263864040375,155,0.9890219560878244,0.991869918699187,0.9938475811499597,155,0.8186598667689198,0.9194976270092913,0.9386887289967156,155,0.9405664930097187,0.9507347166075992,0.9596613295197752,155,0.7905443219963564,0.9116104073187622,0.9353517740119468,155,0.7905443219963564,0.9116104073187622,0.9353517740119468,155,0.0,0.0,0.0,155,0.0,0.0,0.0,155,0.8026056060007896,0.8162863886703383,0.8266296651453356,155,1.0,1.0,1.0,155,0.9890219560878244,0.991869918699187,0.9938475811499597,155,0.8080286168521462,0.8217620787657328,0.8335814722911498,155,1995.0,2073.0,2120.3,155,0.8109826589595376,0.9509641873278237,0.9804268687255756,155,0.7905443219963564,0.9116104073187622,0.9353517740119468,155,0.7905443219963564,0.9116104073187622,0.9353517740119468,155,0.0,0.0,0.0,155,0.0,0.0,0.0,155,0.0016880333423614502,0.0025090277194976807,0.0032234668731689455,155,3.2691999986127485,3.6168999977235217,4.245999998602201,155,155
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,One-Euro Anchor,One-Euro Anchor,155,155,155,0.8113540410995483,0.9116385579109192,0.9306263864040375,155,0.9890219560878244,0.991869918699187,0.9938475811499597,155,0.8186598667689198,0.9194976270092913,0.9386887289967156,155,0.9405664930097187,0.9507347166075992,0.9596613295197752,155,0.7905443219963564,0.9116104073187622,0.9353517740119468,155,0.7905443219963564,0.9116104073187622,0.9353517740119468,155,0.0,0.0,0.0,155,0.0,0.0,0.0,155,0.8026056060007896,0.8162863886703383,0.8266296651453356,155,1.0,1.0,1.0,155,0.9890219560878244,0.991869918699187,0.9938475811499597,155,0.8080286168521462,0.8217620787657328,0.8335814722911498,155,1995.0,2073.0,2120.3,155,0.8109826589595376,0.9509641873278237,0.9804268687255756,155,0.7905443219963564,0.9116104073187622,0.9353517740119468,155,0.7905443219963564,0.9116104073187622,0.9353517740119468,155,0.0,0.0,0.0,155,0.0,0.0,0.0,155,0.0016880333423614502,0.0025090277194976807,0.0032234668731689455,155,3.2691999986127485,3.6168999977235217,4.245999998602201,155,155
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,Arrival-Hold,Arrival-Hold,153,153,153,0.25346115231513977,0.9055871963500977,0.9332891225814819,153,0.9735963581183612,0.9896856581532416,0.9922918227270352,153,0.2588142420363238,0.9149687881680113,0.9431928576831952,153,0.8897141286661097,0.9513821693238106,0.9624268597898499,153,0.1900739464639044,0.9055142819126949,0.9404538149794701,153,0.1900739464639044,0.9040734374946243,0.9404538149794701,153,0.0,0.0,0.9697475219247527,153,0.0,0.0,0.35,153,0.6640625,0.8329268292682926,0.8639053801525198,153,1.0,1.0,1.0,153,0.9735963581183612,0.9896856581532416,0.9922918227270352,153,0.6656225528582616,0.8396856581532417,0.8737301627116295,153,1706.0,2256.0,2714.2000000000003,153,0.2104887620406707,0.9455919395465995,0.9834343329153021,153,0.1900739464639044,0.9055142819126949,0.9404538149794701,153,0.1900739464639044,0.9040734374946243,0.9404538149794701,153,0.0,0.0,0.9697475219247527,153,0.0,0.0,0.35,153,0.001241043210029602,0.00256231427192688,0.004131367802619934,153,3.264099999796599,3.7015999987488613,4.513859997678082,153,153
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,Capture-Hold,Capture-Hold,153,153,153,0.25346115231513977,0.9055871963500977,0.9332891225814819,153,0.9735963581183612,0.9896856581532416,0.9922918227270352,153,0.2588142420363238,0.9149687881680113,0.9431928576831952,153,0.8897141286661097,0.9513821693238106,0.9624268597898499,153,0.1900739464639044,0.9055142819126949,0.9404538149794701,153,0.1900739464639044,0.9040734374946243,0.9404538149794701,153,0.0,0.0,0.9697475219247527,153,0.0,0.0,0.35,153,0.6640625,0.8329268292682926,0.8639053801525198,153,1.0,1.0,1.0,153,0.9735963581183612,0.9896856581532416,0.9922918227270352,153,0.6656225528582616,0.8396856581532417,0.8737301627116295,153,1706.0,2256.0,2714.2000000000003,153,0.2104887620406707,0.9455919395465995,0.9834343329153021,153,0.1900739464639044,0.9055142819126949,0.9404538149794701,153,0.1900739464639044,0.9040734374946243,0.9404538149794701,153,0.0,0.0,0.9697475219247527,153,0.0,0.0,0.35,153,0.001241043210029602,0.00256231427192688,0.004131367802619934,153,3.264099999796599,3.7015999987488613,4.513859997678082,153,153
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,EgoAnchor,EgoAnchor,153,153,153,0.25346115231513977,0.9055871963500977,0.9332891225814819,153,0.9735963581183612,0.9896856581532416,0.9922918227270352,153,0.2588142420363238,0.9149687881680113,0.9431928576831952,153,0.8897141286661097,0.9513821693238106,0.9624268597898499,153,0.1900739464639044,0.9055142819126949,0.9404538149794701,153,0.1900739464639044,0.9040734374946243,0.9404538149794701,153,0.0,0.0,0.9697475219247527,153,0.0,0.0,0.35,153,0.6640625,0.8329268292682926,0.8639053801525198,153,1.0,1.0,1.0,153,0.9735963581183612,0.9896856581532416,0.9922918227270352,153,0.6656225528582616,0.8396856581532417,0.8737301627116295,153,1706.0,2256.0,2714.2000000000003,153,0.2104887620406707,0.9455919395465995,0.9834343329153021,153,0.1900739464639044,0.9055142819126949,0.9404538149794701,153,0.1900739464639044,0.9040734374946243,0.9404538149794701,153,0.0,0.0,0.9697475219247527,153,0.0,0.0,0.35,153,0.001241043210029602,0.00256231427192688,0.004131367802619934,153,3.264099999796599,3.7015999987488613,4.513859997678082,153,153
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,One-Euro Anchor,One-Euro Anchor,153,153,153,0.25346115231513977,0.9055871963500977,0.9332891225814819,153,0.9735963581183612,0.9896856581532416,0.9922918227270352,153,0.2588142420363238,0.9149687881680113,0.9431928576831952,153,0.8897141286661097,0.9513821693238106,0.9624268597898499,153,0.1900739464639044,0.9055142819126949,0.9404538149794701,153,0.1900739464639044,0.9040734374946243,0.9404538149794701,153,0.0,0.0,0.9697475219247527,153,0.0,0.0,0.35,153,0.6640625,0.8329268292682926,0.8639053801525198,153,1.0,1.0,1.0,153,0.9735963581183612,0.9896856581532416,0.9922918227270352,153,0.6656225528582616,0.8396856581532417,0.8737301627116295,153,1706.0,2256.0,2714.2000000000003,153,0.2104887620406707,0.9455919395465995,0.9834343329153021,153,0.1900739464639044,0.9055142819126949,0.9404538149794701,153,0.1900739464639044,0.9040734374946243,0.9404538149794701,153,0.0,0.0,0.9697475219247527,153,0.0,0.0,0.35,153,0.001241043210029602,0.00256231427192688,0.004131367802619934,153,3.264099999796599,3.7015999987488613,4.513859997678082,153,153
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,Arrival-Hold,Arrival-Hold,169,169,169,0.5385659337043762,0.9122867584228516,0.9313842296600342,169,0.9825823551684968,0.9887031179394488,0.9924938532716457,169,0.5481127463934171,0.9225748942116722,0.9435842654229663,169,0.9395067234531428,0.9520369386596166,0.9580459364656752,169,0.47777292964666734,0.9156871303279042,0.9405036939311998,169,0.47777292964666734,0.9156871303279042,0.9405036939311998,169,0.0,0.0,0.0,169,0.0,0.0,0.0,169,0.8104395604395604,0.8436507936507937,0.8661118062446966,169,1.0,1.0,1.0,169,0.9825823551684968,0.9887031179394488,0.9924938532716457,169,0.8155608214849921,0.8516836927733636,0.8776911345933153,169,2035.0,2219.0,2814.2,169,0.45023902651021297,0.95578231292517,0.9769752180569584,169,0.47777292964666734,0.9156871303279042,0.9405036939311998,169,0.47777292964666734,0.9156871303279042,0.9405036939311998,169,0.0,0.0,0.0,169,0.0,0.0,0.0,169,0.0012993812561035156,0.0023005008697509766,0.0033162832260131827,169,3.2838000006449874,3.6595999990822747,4.330240000126651,169,169
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,Capture-Hold,Capture-Hold,169,169,169,0.5385659337043762,0.9122867584228516,0.9313842296600342,169,0.9825823551684968,0.9887031179394488,0.9924938532716457,169,0.5481127463934171,0.9225748942116722,0.9435842654229663,169,0.9395067234531428,0.9520369386596166,0.9580459364656752,169,0.47777292964666734,0.9156871303279042,0.9405036939311998,169,0.47777292964666734,0.9156871303279042,0.9405036939311998,169,0.0,0.0,0.0,169,0.0,0.0,0.0,169,0.8104395604395604,0.8436507936507937,0.8661118062446966,169,1.0,1.0,1.0,169,0.9825823551684968,0.9887031179394488,0.9924938532716457,169,0.8155608214849921,0.8516836927733636,0.8776911345933153,169,2035.0,2219.0,2814.2,169,0.45023902651021297,0.95578231292517,0.9769752180569584,169,0.47777292964666734,0.9156871303279042,0.9405036939311998,169,0.47777292964666734,0.9156871303279042,0.9405036939311998,169,0.0,0.0,0.0,169,0.0,0.0,0.0,169,0.0012993812561035156,0.0023005008697509766,0.0033162832260131827,169,3.2838000006449874,3.6595999990822747,4.330240000126651,169,169
