session_id,experiment_id,scenario_id,trial_id,event_id,condition_id,baseline_variant,variant_id,variant_label,metric_name,metric_value_baseline,metric_value_variant,delta_variant_minus_baseline,paired_n
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,One-Euro Anchor,One-Euro Anchor,translation_error_mm_p95,9.080320344668067,7.78227899533645,-1.2980413493316165,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,One-Euro Anchor,One-Euro Anchor,rotation_error_deg_median,3.2819020739309694,3.327597264178099,0.045695190247129425,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,One-Euro Anchor,One-Euro Anchor,rotation_error_deg_iqr,0.921667123871722,0.6347907371169139,-0.2868763867548081,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,One-Euro Anchor,One-Euro Anchor,rotation_error_deg_p95,4.2477062384184885,3.748835188186208,-0.4988710502322804,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,One-Euro Anchor,One-Euro Anchor,candidate_arrival_p50_ms,166.84559999703197,166.9395999997505,0.0940000027185306,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,One-Euro Anchor,One-Euro Anchor,candidate_arrival_p95_ms,195.22149999829708,195.2984599978663,0.07695999956922606,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,One-Euro Anchor,One-Euro Anchor,candidate_processing_p50_ms,75.23009999841452,75.23009999841452,0.0,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,One-Euro Anchor,One-Euro Anchor,candidate_processing_p95_ms,90.15942000076176,90.15942000076176,0.0,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,One-Euro Anchor,One-Euro Anchor,observation_age_p50_ms,47.75399999925867,216.58659999957308,168.83260000031441,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,One-Euro Anchor,One-Euro Anchor,observation_age_p95_ms,98.30219999712425,277.6841200022318,179.38192000510753,1
