session_id,experiment_id,scenario_id,trial_id,event_id,condition_id,variant_id,variant_label,n,segment_count,static_duration_ms,position_hp_rms_mm,rotation_hp_rms_deg,translation_error_mm_median,translation_error_mm_p95,rotation_error_deg_median,rotation_error_deg_p95,position_drift_mm,rotation_drift_deg,insufficient_data
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,Arrival-Hold,1035,1,15927.860800002236,1.5791602311131065,0.7755967105414527,5.892079107736975,9.080320344668067,3.2819020739309694,4.2477062384184885,3.4030461935631022,2.859792564958713,False
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Capture-Hold,Capture-Hold,1035,1,15927.860800002236,0.5912399506049602,0.7574064046082272,5.040691422478555,7.663696751500191,3.3502378715181207,4.1715172943207985,5.196318953176181,2.6181297231904126,False
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,EgoAnchor,EgoAnchor,1035,1,15927.860800002236,0.017400534395129084,0.016021203923810623,5.982933756350954,7.155202365780894,3.4086561851193444,3.680874778400833,3.6166260230521927,1.4560124705656237,False
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,One-Euro Anchor,One-Euro Anchor,1035,1,15927.860800002236,0.20739907835339397,0.2809674898898029,4.954260519036424,7.78227899533645,3.327597264178099,3.748835188186208,4.528806856662363,2.121348191722807,False
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,Arrival-Hold,Arrival-Hold,988,1,15808.51149999944,5.252681889493891,1.1823732167298204,11.956629905299106,33.59964860583734,3.1718854842668307,7.828571963432489,2.474589666190471,1.509896432553359,False
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,Capture-Hold,Capture-Hold,988,1,15808.51149999944,3.953097329703636,1.1213768677826716,5.182864398810529,10.052475153085565,3.0696817349666548,6.521281320762965,3.31689528928075,1.3852636680857309,False
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,EgoAnchor,EgoAnchor,988,1,15808.51149999944,1.1367603966307174,0.43313365435981616,3.6882125673198463,6.460055436376794,2.8870613702715966,3.5033518798188186,4.883834190054031,2.758652290584058,False
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,One-Euro Anchor,One-Euro Anchor,988,1,15808.51149999944,1.408719841002872,0.42996768365092514,4.770834984740274,9.121869916051915,2.910812767291267,5.417854836304623,3.3897125270962354,1.2705491046246478,False
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,Arrival-Hold,Arrival-Hold,1120,1,17450.30759999645,3.7481000086813228,0.8405799016774481,9.483922399506836,27.76968600563287,2.975547712121113,5.559970041191362,1.0509375453311018,1.0466768425533368,False
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,Capture-Hold,Capture-Hold,1120,1,17450.30759999645,1.4560158183780656,0.7656848709058757,4.364908219233289,6.936400010806689,2.7627688298573356,4.2420323926448305,1.431253863752452,1.0094310261027457,False
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,EgoAnchor,EgoAnchor,1120,1,17450.30759999645,0.03562759723341337,0.01604759621006276,2.332678543957942,2.7938745440506185,2.629617381417243,2.974718974765411,1.3099793089987974,0.8102937977845623,False
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,One-Euro Anchor,One-Euro Anchor,1120,1,17450.30759999645,0.6215658246739076,0.3205141070487205,3.8950332640662806,6.307123859343195,2.7979467179800177,3.7613385187313497,1.3640919748001892,0.6747249239419333,False
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_003,exp1_system_characterization/static_head_motion,Arrival-Hold,Arrival-Hold,1294,1,19871.057999996992,3.572780143369746,0.9432569480334663,8.514007930469441,16.539650495993637,2.64954589270765,4.118632448821765,2.238293880382658,3.07937475216155,False
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_003,exp1_system_characterization/static_head_motion,Capture-Hold,Capture-Hold,1294,1,19871.057999996992,3.1347911021930024,0.9363611925104198,4.049691472151055,8.821429824936253,2.6869690612614914,4.072340906643936,2.297316941719844,3.0746382270793013,False
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_003,exp1_system_characterization/static_head_motion,EgoAnchor,EgoAnchor,1294,1,19871.057999996992,0.03238938686338388,0.01596265992153617,2.8014793066304957,3.4967309517041376,2.5615768404966395,2.7356922916684496,2.3229449809902976,0.6787961412548762,False
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_003,exp1_system_characterization/static_head_motion,One-Euro Anchor,One-Euro Anchor,1294,1,19871.057999996992,1.1311529657669956,0.3685895685976179,3.66666504961224,8.543970550772336,2.5999162339859168,3.543936270433106,2.3662723202982807,2.481736798268746,False
