session_id,experiment_id,scenario_id,trial_id,event_id,condition_id,variant_id,variant_label,candidate_count,render_tick_count,candidate_arrival_p50_ms,candidate_arrival_p95_ms,candidate_processing_p50_ms,candidate_processing_p95_ms,observation_age_p50_ms,observation_age_p95_ms,smoothing_delay_p50_ms,smoothing_delay_p95_ms,visual_perception_hz,render_hz
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,Arrival-Hold,153,1035,166.84559999703197,195.22149999829708,75.23009999841452,90.15942000076176,47.75399999925867,98.30219999712425,47.75399999925867,98.30219999712425,9.662200445880814,64.91769440877175
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Capture-Hold,Capture-Hold,153,1035,166.89449999830686,195.2625399993849,75.23009999841452,90.15942000076176,216.58600000228034,277.6834800024517,216.58600000228034,277.6834800024517,9.662200445880814,64.91769440877175
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,EgoAnchor,EgoAnchor,153,1035,166.7368999987957,195.13937999872724,75.23009999841452,90.15942000076176,216.57620000041788,277.67591000083485,,,9.662200445880814,64.91769440877175
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,One-Euro Anchor,One-Euro Anchor,153,1035,166.9395999997505,195.2984599978663,75.23009999841452,90.15942000076176,216.58659999957308,277.6841200022318,216.58659999957308,277.6841200022318,9.662200445880814,64.91769440877175
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,Arrival-Hold,Arrival-Hold,153,988,166.71949999727076,208.5782800000743,74.98919999971986,86.4023799970746,42.7104500013229,99.12914499582257,42.7104500013229,99.12914499582257,9.663731208708738,62.43472068828459
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,Capture-Hold,Capture-Hold,153,988,166.7511999985436,208.60951999929966,74.98919999971986,86.4023799970746,216.6801499952271,278.1661150031141,216.6801499952271,278.1661150031141,9.663731208708738,62.43472068828459
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,EgoAnchor,EgoAnchor,153,988,166.63929999776883,208.485220001603,74.98919999971986,86.4023799970746,216.67094999793335,278.15660500091326,276.5538841485977,283.64588767290115,9.663731208708738,62.43472068828459
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,One-Euro Anchor,One-Euro Anchor,153,988,166.7779999988852,208.63949999766191,74.98919999971986,86.4023799970746,216.68085000055726,278.16668000014033,216.68085000055726,278.16668000014033,9.663731208708738,62.43472068828459
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,Arrival-Hold,Arrival-Hold,169,1120,167.57199999847217,223.1355599971721,74.96040000021458,83.46844000145794,43.07234999942011,97.26934000391338,43.07234999942011,97.26934000391338,9.67879228260262,64.12494413566829
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,Capture-Hold,Capture-Hold,169,1120,167.608099996869,223.1714799971087,74.96040000021458,83.46844000145794,223.01964999860502,298.6417550018814,223.01964999860502,298.6417550018814,9.67879228260262,64.12494413566829
