segment,variant,active_frames,reference_angular_speed_median_deg_s,reference_angular_speed_p95_deg_s,rotation_median_deg,rotation_p95_deg,translation_median_mm,translation_p95_mm,effective_rotation_lag_ms,lag_compensated_rotation_residual_deg,rotation_jump_p95_deg,rotation_jump_p99_deg,translation_jump_p99_mm,update_rate_hz,hold_ratio_pct,observation_lag_median_ms,output_target_lag_median_ms,display_coverage_pct
1,Arrival-Hold,1170,42.93250327750992,84.97535678011648,10.695864640692163,20.242281585588977,7.545257106407885,16.88362149840874,265.0,2.7641445421636766,5.20314329336202,8.075717240711036,5.692603097495129,8.723571833390507,85.8974358974359,216.64624999903026,49.053499998990446,100.0
1,Capture-Hold,1170,42.93250327750992,84.97535678011648,10.872260539391783,20.312825031614583,7.362583471649893,15.692552967965376,255.0,2.7577030817393378,5.271119329439485,8.01757229579198,5.508503913510556,8.723571833390507,85.8974358974359,216.64624999903026,216.64624999903026,100.0
1,One-Euro Anchor,1170,42.93250327750992,84.97535678011648,15.211799161925654,27.24962307422331,8.888175281711622,20.69477619212331,380.0,2.803703475185128,4.793508884343916,7.305844160514934,4.534713389027459,8.723571833390507,85.8974358974359,216.64624999903026,216.64624999903026,100.0
1,EgoAnchor,1170,42.93250327750992,84.97535678011648,14.393683767379812,23.656074825564634,8.739081018008877,18.318171691466972,340.0,2.6126793771690853,1.638736515333592,2.335772467288707,1.709845609819597,55.46076880743419,10.34188034188034,216.64624999903026,282.5671118735045,100.0
1,EgoAnchor w/o capture-time alignment,1170,42.93250327750992,84.97535678011648,19.062222973912505,31.912652461100304,10.487690634401748,25.570403356501373,460.0,2.7391654729279744,1.6472591965743364,2.389810724165428,1.7001169799332263,56.6767818508765,8.376068376068375,216.64624999903026,250.02259999746457,100.0
1,EgoAnchor w/o VCD,1170,42.93250327750992,84.97535678011648,14.393781464725254,23.65623634811443,8.739103044895735,18.318418216487295,340.0,2.612735059943794,1.6386503568281183,2.3358938060301404,1.7098813752342952,55.46076880743419,10.34188034188034,216.64624999903026,282.5696578111092,100.0
1,EgoAnchor w/o temporal synthesis,1170,42.93250327750992,84.97535678011648,11.288960154571926,20.68793187987809,7.652409723618,15.755262366072504,265.0,2.9165484112358495,5.211753478003781,8.01757229579198,5.505224596322806,16.759831946574486,72.9059829059829,216.64624999903026,216.74680000069202,100.0
1,EgoAnchor w/o StaticLock,1170,42.93250327750992,84.97535678011648,13.607248285107575,23.447836691472535,8.34685175841507,18.246703330423774,340.0,2.4454900819910264,1.5535586427833425,2.2705601332420744,1.5629142174160777,61.85805481858723,0.0,216.64624999903026,283.16503010864835,100.0
2,Arrival-Hold,903,40.072213826111536,96.04795748215548,6.618891140391789,17.811242240568962,5.793905285850335,10.112305027429697,255.0,2.2651435101771678,3.3285157840294723,6.054637216626849,4.081096678212235,7.524695086813994,85.71428571428571,216.44910000031814,49.087200000940356,100.0
2,Capture-Hold,903,40.072213826111536,96.04795748215548,6.635739551814104,17.82176172048996,5.915412155892354,10.029234975070025,255.0,2.2699222759705533,3.342565437378799,6.08087759665468,4.15174436635215,7.524695086813994,85.71428571428571,216.44910000031814,216.44910000031814,100.0
2,One-Euro Anchor,903,40.072213826111536,96.04795748215548,9.242712506196282,19.269867460438764,5.9771985676124535,10.12572096397609,365.0,2.610222067860187,2.816245919993917,5.410319677344561,2.44894626821605,7.524695086813994,85.71428571428571,216.44910000031814,216.44910000031814,100.0
2,EgoAnchor,903,40.072213826111536,96.04795748215548,8.746686397836061,21.228682510751142,6.149406207226369,10.985806353824723,330.0,2.446082278411518,1.7040663842308081,3.342790470527904,1.1130206696741194,43.57323433992289,17.275747508305646,216.44910000031814,285.1133672083961,100.0
2,EgoAnchor w/o capture-time alignment,903,40.072213826111536,96.04795748215548,11.212736776187656,24.565362688456958,6.4707353746916265,12.201983266873583,485.0,2.425803627004467,1.5225017138635577,2.8686305661510563,1.1867790230905924,43.04825561293587,18.272425249169437,216.44910000031814,250.02259999746457,100.0
2,EgoAnchor w/o VCD,903,40.072213826111536,96.04795748215548,8.747014197378439,21.22881363293833,6.149373208805444,10.985821127162849,330.0,2.446068499297904,1.7039333178114566,3.342669814514733,1.1129176424381122,43.57323433992289,17.275747508305646,216.44910000031814,285.11577643075725,100.0
2,EgoAnchor w/o temporal synthesis,903,40.072213826111536,96.04795748215548,7.277530846053578,19.583403361273312,6.147511176562628,9.931448007137776,255.0,2.6055995750159022,2.950387972671253,5.769089625637524,3.9020359767026425,23.27405689642468,55.81395348837209,216.44910000031814,216.65300000313437,100.0
2,EgoAnchor w/o StaticLock,903,40.072213826111536,96.04795748215548,8.302079732681037,19.083371537976014,6.039239492180804,10.686001274024653,325.0,2.169792643560518,1.5348885748192929,3.141627336988923,1.1707052625632297,52.67286560769796,0.0,216.44910000031814,281.84607706498355,100.0
3,Arrival-Hold,1140,40.139410929360466,79.20853054363575,10.172891458867163,17.633737845424797,8.970999982392872,20.51142161981332,265.0,2.5472592559260727,4.6402162096223645,7.9069738840571215,5.531048768967887,7.01219582223756,86.31578947368422,222.70304999983637,48.74589999599266,100.0
