method,n_segments,rotation_median_deg,rotation_median_min_deg,rotation_median_max_deg,rotation_p95_deg,translation_median_mm,effective_rotation_lag_median_ms,lag_compensated_rotation_residual_deg,rotation_jump_p99_median_deg,update_rate_median_hz,hold_ratio_median_pct,observation_lag_median_ms,output_target_lag_median_ms,display_coverage_pct
Arrival-Hold,3,10.172891458867163,6.618891140391789,10.695864640692163,17.811242240568962,7.545257106407885,265.0,2.5472592559260727,7.9069738840571215,7.524695086813994,85.8974358974359,216.64624999903026,49.053499998990446,100.0
Capture-Hold,3,10.172388062338644,6.635739551814104,10.872260539391783,17.82176172048996,7.362583471649893,255.0,2.549386501248284,7.905408961778028,7.524695086813994,85.8974358974359,216.64624999903026,216.64624999903026,100.0
One-Euro Anchor,3,14.190728973114616,9.242712506196282,15.211799161925654,22.78915835947374,8.888175281711622,380.0,2.610222067860187,6.60401568947554,7.524695086813994,85.8974358974359,216.64624999903026,216.64624999903026,100.0
EgoAnchor,3,13.246986090770084,8.746686397836061,14.393683767379812,22.31058102067929,8.739081018008877,340.0,2.479338891489594,2.335772467288707,44.545423460496295,13.07017543859649,216.64624999903026,285.1133672083961,100.0
