segment,start_s,end_s,duration_s,active_frames,active_fraction_pct,median_reference_angular_speed_deg_s,p95_reference_angular_speed_deg_s
1,14.389935800005333,36.84407370000554,22.454137900000205,1170,74.5697896749522,42.93250327750992,84.97535678011648
2,36.84407370000554,56.2454635000031,19.40138979999756,903,66.88888888888889,40.072213826111536,96.04795748215548
3,56.2454635000031,79.93711710000207,23.691653599998972,1140,69.00726392251816,40.139410929360466,79.20853054363575
