method,head_motion_leakage_centered_p95_mm,absolute_registration_p95_mm,effective_lag_ms,lag_aligned_rmse_mm,occlusion_p95_mm
Arrival-Hold,20.690272044107044,21.34125249898996,182.5,10.087404461370905,25.553102114208286
Capture-Hold,10.83305320378316,13.256740843599996,250.0,9.584197698349644,25.479266187905342
One-Euro Anchor,8.329484326065597,12.407050423860587,385.0,9.559287102511744,11.70987742889795
EgoAnchor,1.631104654881553,6.894116573998032,320.0,4.959858550657504,1.980049024632295
