method,head_motion_leakage_p95_mm,absolute_registration_p95_mm,stationary_frame_increment_p95_mm,translation_lag_ms,translation_aligned_rmse_mm,rotation_lag_ms,rotation_aligned_rmse_deg,occlusion_p95_mm,catastrophic_failures_gt40,occlusion_episodes,start_transition_response_ms
Arrival-Hold,20.690272044107044,21.34125249898996,3.760033225116093,182.5,10.087404461370905,260.0,3.3354458374754223,25.553102114208286,2,9,167.54959999979474
Capture-Hold,10.83305320378316,13.256740843599996,2.380314904157946,250.0,9.584197698349644,260.0,3.2809843818041653,25.479266187905342,2,9,208.7830999998987
One-Euro Anchor,8.329484326065597,12.407050423860587,1.0645902002078453,385.0,9.559287102511744,370.0,3.388963249775912,11.70987742889795,0,9,284.355300000243
EgoAnchor,1.631104654881553,6.894116573998032,0.09825015444369316,320.0,4.959858550657504,372.5,4.690806132040107,1.980049024632295,0,9,591.1270999999833
