method,translation_median_mm,translation_q1_mm,translation_q3_mm,translation_p95_mm,rotation_median_deg,rotation_q1_deg,rotation_q3_deg,rotation_p95_deg,position_hp_rms_mm,rotation_hp_rms_deg,observation_lag_median_ms,observation_lag_p95_ms,output_target_lag_median_ms,output_target_lag_p95_ms,display_coverage_pct
Arrival-Hold,7.664379141959225,4.877614083620494,12.372679429815687,23.144575349753516,2.850820765862744,2.285464816298248,3.5808186759631866,4.96712571696548,5.031862970117844,1.1769764663064284,216.75519999917015,278.05551999699674,47.81214999457006,98.21485499924164,100.0
Capture-Hold,4.542509074757996,3.226701150152135,6.435924540750778,8.576432753049367,2.8005332282379634,2.2772446476538373,3.4767109173628543,4.468976889307579,2.7870762270750635,1.0662909279511517,216.75519999917015,278.05551999699674,216.75519999917015,278.05551999699674,100.0
One-Euro Anchor,4.348982145119382,3.235181390464331,5.965464395689731,8.042814234003487,2.7545637372309266,2.344790437838111,3.287695417000179,4.062494588699543,1.3476002864506234,0.5492610893507822,216.75519999917015,278.05551999699674,216.75519999917015,278.05551999699674,100.0
EgoAnchor,3.1736391331058056,2.7007990888149,3.784844880296805,6.954666646057942,2.614828673135124,2.493094662805823,2.9724857497661246,3.465809119814424,0.644242835920431,0.33211800214323406,216.75519999917015,278.05551999699674,276.5904841471638,283.6864476743358,100.0
