Variant,Static P95 (mm),Static median (mm),Trans. lag (ms),Trans. RMSE (mm),Occlusion P95 (mm)
EgoAnchor,3.6791361183987994,3.010919247059156,325.0,5.6969974179873875,1.8216604043864253
EgoAnchor w/o capture-time alignment,8.729948710622578,3.7489619898032576,390.0,8.029406872590195,5.760206631523301
EgoAnchor w/o VCD,3.6791361183987994,3.010919247059156,325.0,5.697003154686515,23.970231433036943
EgoAnchor w/o temporal synthesis,3.6791747191973245,3.0110615375033944,255.0,11.012017464121898,1.7762889427469264
EgoAnchor w/o StaticLock,8.629793525608509,4.313375614408168,322.5,5.031663379313151,7.507310450062187
